year,month,gpp_kgC_m2_s,scenario,npp_kgC_m2_s,rh_kgC_m2_s,ra_kgC_m2_s,nbp_kgC_m2_s,lai_m2_m2,sw_down_sfc_W_m2,sw_up_sfc_W_m2,lw_down_atm_W_m2,lw_up_sfc_W_m2,latent_heat_W_m2,sensible_heat_W_m2
1980,1,4.676771e-09,historical,-5.5152967e-09,1.3876685e-08,1.0192068e-08,-2.0710104e-08,2.1765878,18.80472,2.2769585,305.4949,345.57925,27.492025,-1.4782454
1980,2,7.896765e-09,historical,-1.9946809e-09,1.3526321e-08,9.891446e-09,-1.6628338e-08,2.0268288,43.98913,4.6917305,302.65634,341.98923,24.0046,-7.7838736
1980,3,1.7240398e-08,historical,6.6177597e-09,1.4021268e-08,1.0622638e-08,-8.335849e-09,1.9746457,98.6286,8.928001,299.60483,344.41483,24.412733,-7.2352467
1980,4,3.9553797e-08,historical,2.6149369e-08,1.2802171e-08,1.3404429e-08,1.2565419e-08,2.0400138,203.95267,16.149918,281.52255,352.0724,34.10768,8.201219
1980,5,9.0511456e-08,historical,6.425893e-08,1.0134173e-08,2.6252525e-08,5.3467485e-08,2.7553947,273.30786,19.451004,285.92856,363.38632,49.327194,17.210651
1980,6,9.768986e-08,historical,5.004237e-08,4.9765783e-09,4.76475e-08,4.4408477e-08,3.9440126,272.5912,18.586563,329.17612,387.34973,25.914038,8.786485
1980,7,4.221117e-08,historical,1.982242e-08,2.9990443e-09,2.238875e-08,1.41306735e-08,2.5282402,258.94785,18.273758,342.16376,407.20023,50.30163,17.134546
1980,8,2.1185725e-08,historical,8.964747e-09,1.4171938e-08,1.2220979e-08,-8.672136e-09,1.1675078,190.89444,15.115112,345.43674,409.2718,96.47119,23.243732
1980,9,2.895569e-08,historical,8.2649425e-09,1.9530615e-08,2.0690749e-08,-1.40497205e-08,2.295352,129.52892,11.072746,336.54874,400.76962,89.34544,15.773613
1980,10,1.6568142e-08,historical,1.9705453e-09,1.8852688e-08,1.4597598e-08,-1.9243007e-08,2.3259132,68.61001,6.691452,331.46167,386.2982,96.20543,21.651287
1980,11,6.78511e-09,historical,-4.800459e-09,1.6093649e-08,1.1585569e-08,-2.2856758e-08,2.1472352,24.249178,2.649805,324.37036,370.04016,74.85911,14.887655
1980,12,3.1229563e-09,historical,-5.0282143e-09,1.0972358e-08,8.15117e-09,-1.7634092e-08,2.1415572,18.254116,2.8174648,280.61398,347.51584,67.58559,46.391766
1981,1,4.5768696e-09,historical,-5.0305045e-09,1.2142562e-08,9.607374e-09,-1.853073e-08,2.093281,23.585102,2.9732094,298.06873,338.23672,15.760772,-2.9199374
1981,2,8.268041e-09,historical,-1.037208e-09,1.2371255e-08,9.30525e-09,-1.45477435e-08,1.976551,53.525124,5.8317947,287.50772,337.39313,23.707132,-10.530543
1981,3,1.44166545e-08,historical,5.9341376e-09,1.17899415e-08,8.482517e-09,-6.8138033e-09,1.8101948,109.877144,10.364845,275.6238,337.9959,34.856865,7.4112306
1981,4,3.9617536e-08,historical,2.6074808e-08,1.2779807e-08,1.3542729e-08,1.2492951e-08,1.8626295,204.76949,16.132553,286.78738,347.86786,19.512877,6.356302
1981,5,8.1770075e-08,historical,5.9063265e-08,1.1166918e-08,2.2706812e-08,4.7223246e-08,2.5515623,254.24005,17.956299,293.8325,361.9475,33.03814,10.404071
1981,6,1.041795e-07,historical,6.070693e-08,7.0451445e-09,4.3472564e-08,5.3095533e-08,3.8911605,243.87227,16.69722,323.0481,378.82162,35.89644,10.623797
1981,7,6.91037e-08,historical,3.2524415e-08,4.8435282e-09,3.6579284e-08,2.6073055e-08,3.454149,249.93837,17.196793,341.76984,398.0801,34.508774,13.0475025
1981,8,3.76093e-08,historical,1.3587726e-08,5.15437e-09,2.4021576e-08,3.085313e-09,1.7894177,222.31386,17.32373,329.14734,404.46182,69.43163,17.184017
1981,9,1.5747366e-08,historical,5.409212e-09,1.0130207e-08,1.03381534e-08,-9.228879e-09,1.1715742,140.79193,13.0812,331.87613,401.9779,92.27218,18.537794
1981,10,1.662291e-08,historical,8.0691726e-10,1.3743042e-08,1.5815992e-08,-1.6538873e-08,2.1621733,75.46665,7.733635,324.97162,391.0502,68.60755,14.42601
1981,11,6.297567e-09,historical,-4.3820076e-09,1.8521321e-08,1.0679575e-08,-2.5892218e-08,2.2146373,27.018553,2.9526215,315.01288,369.8826,103.90856,39.30805
1981,12,2.784089e-09,historical,-5.388468e-09,1.0492182e-08,8.172557e-09,-1.8362286e-08,2.210157,10.606026,1.3139019,301.45633,345.27338,79.9679,63.862354
1982,1,4.2345345e-09,historical,-5.399165e-09,1.3421566e-08,9.6337e-09,-2.0876987e-08,2.1986723,15.749161,1.6865597,311.596,336.3615,9.860712,1.6736221
1982,2,6.677938e-09,historical,-1.6543504e-09,1.0845969e-08,8.332289e-09,-1.4220116e-08,2.150013,48.191833,5.2854576,281.45206,330.15833,28.462597,7.287099
1982,3,1.9678517e-08,historical,9.696526e-09,1.3138286e-08,9.98199e-09,-4.882316e-09,2.024503,138.38762,13.453247,265.0821,335.557,16.884346,2.6706994
1982,4,3.9407688e-08,historical,2.6142088e-08,1.29176145e-08,1.3265599e-08,1.2024084e-08,1.9821892,198.28557,15.728851,285.62506,345.16943,20.40166,4.798631
1982,5,8.066996e-08,historical,5.042187e-08,1.1344155e-08,3.0248092e-08,3.8075843e-08,2.6088347,245.84491,17.710007,294.66656,360.21848,33.342884,9.311509
1982,6,1.1850971e-07,historical,6.927484e-08,8.7867305e-09,4.9234874e-08,5.965069e-08,3.9829178,221.93816,15.673172,336.89035,379.2002,23.37117,5.7735543
1982,7,8.729807e-08,historical,4.7722956e-08,6.9132633e-09,3.9575117e-08,3.8856e-08,3.6829693,228.3016,16.17189,331.72104,391.3602,58.337776,13.995318
1982,8,3.8727947e-08,historical,1.3943166e-08,1.29063045e-08,2.4784782e-08,-7.510745e-09,1.9221777,158.39798,12.013916,343.48538,395.87018,52.65144,9.109617
1982,9,2.6724999e-08,historical,7.608965e-09,1.3278557e-08,1.9116035e-08,-1.2747799e-08,1.9185885,109.63747,9.4216,343.473,393.699,65.41236,11.033763
1982,10,1.7357886e-08,historical,4.1209813e-09,1.2534247e-08,1.3236905e-08,-1.4283995e-08,1.7244254,93.71209,9.952316,302.8523,386.61426,72.77951,11.501605
1982,11,6.5073555e-09,historical,-2.694798e-09,1.5941449e-08,9.202153e-09,-2.3502837e-08,1.5072253,30.868814,3.4428215,319.949,370.1604,64.302345,17.205961
1982,12,2.8635725e-09,historical,-4.354844e-09,1.471279e-08,7.2184165e-09,-2.3101917e-08,1.4852653,13.455618,1.6243191,303.25165,351.78976,56.46104,34.689842
1983,1,3.2163618e-09,historical,-3.5184822e-09,1.2918203e-08,6.7348442e-09,-1.9840886e-08,1.4462845,20.93708,2.4553604,291.49722,339.12784,31.354038,15.82003
1983,2,3.6194223e-09,historical,-1.6366861e-09,8.24894e-09,5.2561084e-09,-1.2736638e-08,1.406305,45.852043,5.8226166,274.34525,328.2751,45.170517,33.502495
1983,3,7.1241972e-09,historical,2.4084306e-09,1.537e-08,4.7157664e-09,-1.5353285e-08,0.90649486,102.62373,9.544731,286.5373,331.09012,9.317728,-4.047775
1983,4,2.618593e-08,historical,1.5295841e-08,1.536214e-08,1.0890088e-08,-2.062847e-09,1.6649691,162.6138,12.641418,299.23273,343.40826,9.707751,4.6722393
