year,month,gpp_kgC_m2_s,scenario,npp_kgC_m2_s,rh_kgC_m2_s,ra_kgC_m2_s,nbp_kgC_m2_s,lai_m2_m2,sw_down_sfc_W_m2,sw_up_sfc_W_m2,lw_down_atm_W_m2,lw_up_sfc_W_m2,latent_heat_W_m2,sensible_heat_W_m2
1980,1,2.240991e-09,historical,1.3272951e-10,5.719684e-09,2.1082613e-09,-7.0466735e-09,0.7806963,94.95419,30.034317,249.2247,310.8015,7.3873715,21.529299
1980,2,8.497555e-10,historical,7.598006e-11,6.7701156e-09,7.737755e-10,-7.909842e-09,0.26860487,136.26816,45.075317,264.63977,321.46512,8.603483,14.799283
1980,3,9.60423e-09,historical,3.6239824e-09,1.5254649e-08,5.980248e-09,-1.2643906e-08,1.098847,173.18304,29.25441,295.82037,363.62585,26.927752,42.878242
1980,4,2.6459466e-08,historical,1.1456811e-08,1.6636008e-08,1.5002655e-08,-6.01835e-09,1.750045,235.49301,36.50316,312.34088,396.27277,51.29297,55.07096
1980,5,6.7229585e-08,historical,3.2553597e-08,1.40393155e-08,3.4675985e-08,1.781897e-08,2.1886199,299.44305,42.56549,335.15732,425.356,91.5305,60.90557
1980,6,1.0257713e-07,historical,5.144749e-08,1.437424e-08,5.1129646e-08,3.649706e-08,3.2293344,235.52646,32.76535,382.42517,443.1731,101.263824,31.599756
1980,7,9.674389e-08,historical,3.8997452e-08,1.0401608e-08,5.7746433e-08,2.7634599e-08,3.3273568,262.31253,36.99846,398.56296,464.2289,118.339645,31.4413
1980,8,5.3809593e-08,historical,2.1562018e-08,1.0692943e-08,3.2247577e-08,7.2922837e-09,2.5286384,262.763,40.18007,392.71155,469.8005,90.6617,47.043938
1980,9,2.681931e-08,historical,1.5911954e-08,1.3797455e-08,1.0907355e-08,-1.925399e-09,1.6957736,190.33711,30.41658,392.4761,456.90247,61.747505,34.108604
1980,10,1.3259325e-08,historical,5.6639027e-09,1.6780048e-08,7.595422e-09,-1.4767947e-08,1.1063476,178.10048,30.163376,299.70236,392.83398,31.982876,33.658092
1980,11,7.543128e-09,historical,2.106781e-09,1.2202873e-08,5.436347e-09,-1.3117566e-08,1.0186346,108.235306,19.16182,290.70007,362.42212,15.678329,12.51895
1980,12,3.0355596e-09,historical,-3.3201028e-10,1.0864083e-08,3.3675698e-09,-1.369672e-08,0.94735044,71.426926,13.5815735,281.9662,328.97607,9.7804,15.48659
1981,1,2.9483425e-09,historical,-1.1792191e-10,9.545978e-09,3.0662644e-09,-1.17210375e-08,0.88340855,84.3017,19.279121,272.22543,324.664,8.6064205,11.006208
1981,2,2.4648557e-09,historical,5.885897e-10,3.3373317e-09,1.876266e-09,-4.460545e-09,0.8156976,150.18224,60.935143,227.64723,298.13977,6.688043,39.896217
1981,3,1.3290324e-09,historical,3.825442e-10,1.2251078e-08,9.464883e-10,-1.3293799e-08,0.18567722,204.24924,49.78946,264.494,347.14215,17.034592,34.101734
1981,4,2.2221828e-08,historical,9.705465e-09,1.6590018e-08,1.2516363e-08,-8.063446e-09,1.4238865,260.19467,41.349686,293.02338,387.1516,46.48315,66.25601
1981,5,6.2705546e-08,historical,2.9108886e-08,1.604955e-08,3.3596667e-08,1.208401e-08,2.075577,280.36255,40.53015,344.39453,429.93216,87.363655,53.074814
1981,6,1.0236231e-07,historical,5.1539857e-08,1.5192873e-08,5.0822443e-08,3.554024e-08,3.1987374,244.09416,34.05449,383.53903,445.19763,105.93717,33.48549
1981,7,9.566135e-08,historical,3.9993008e-08,1.1312395e-08,5.5668348e-08,2.7902065e-08,3.2777317,279.32834,38.68007,399.06464,468.58826,121.53862,37.799316
1981,8,3.0256935e-08,historical,4.322213e-09,2.5420037e-09,2.5934721e-08,-3.6526453e-09,2.3569121,273.87067,46.1985,408.12466,501.784,56.93849,65.82155
1981,9,7.141025e-09,historical,1.3291837e-08,7.3940964e-09,-6.150812e-09,1.7391105e-09,0.52171874,218.8255,41.991425,372.0099,459.27875,34.117996,54.818436
1981,10,9.660802e-09,historical,7.076453e-10,1.461376e-08,8.953156e-09,-1.6952288e-08,1.0219492,162.78476,29.411682,326.50302,409.32455,25.68683,33.093132
1981,11,7.982371e-09,historical,-6.490297e-11,1.4277842e-08,8.047275e-09,-1.6852278e-08,1.7418061,100.32483,17.783943,300.12698,365.31174,19.375254,10.900901
1981,12,3.463617e-09,historical,-1.2561514e-09,1.1493799e-08,4.719768e-09,-1.4826035e-08,1.710787,77.06621,13.990807,270.31046,328.43433,10.249789,9.763436
1982,1,3.1566494e-09,historical,-7.9066476e-10,5.8012137e-09,3.947314e-09,-8.303828e-09,1.5733424,91.364586,30.357471,255.9747,313.2591,5.902779,10.901601
1982,2,8.9233354e-10,historical,-3.1042913e-10,1.6589036e-08,1.2027627e-09,-1.8324027e-08,0.19035234,116.3847,22.819618,293.62433,352.6753,12.423744,19.31644
1982,3,6.6902937e-09,historical,1.9945772e-09,1.5987721e-08,4.6957163e-09,-1.517925e-08,0.76842743,178.73492,34.110382,287.39774,356.28427,22.888231,47.483616
