year,month,gpp_kgC_m2_s,scenario,npp_kgC_m2_s,rh_kgC_m2_s,ra_kgC_m2_s,nbp_kgC_m2_s,lai_m2_m2,sw_down_sfc_W_m2,sw_up_sfc_W_m2,lw_down_atm_W_m2,lw_up_sfc_W_m2,latent_heat_W_m2,sensible_heat_W_m2
1980,1,8.4602997e-10,historical,-5.827414e-11,7.5760016e-11,9.0430413e-10,-9.840078e-10,0.38967577,118.959335,60.287422,188.6096,261.65753,3.0467622,0.3353813
1980,2,1.3900839e-09,historical,2.908055e-10,6.6183364e-10,1.0992786e-09,-1.0787291e-09,0.38501364,171.19478,82.83572,203.56282,285.01974,5.2078786,6.02309
1980,3,3.8259382e-09,historical,2.157137e-09,6.7609975e-09,1.6688011e-09,-5.1947167e-09,0.37921152,211.16356,55.63652,233.95828,318.03223,17.848503,33.730053
1980,4,6.451118e-09,historical,3.6933399e-09,1.1430919e-08,2.7577778e-09,-8.225725e-09,0.37870196,272.79025,54.57747,268.0666,369.19818,31.134487,66.95544
1980,5,3.9384858e-08,historical,2.5021153e-08,1.1904695e-08,1.4363703e-08,1.27121895e-08,1.1736447,279.40683,42.443695,304.12244,397.76184,74.970856,59.404186
1980,6,7.005769e-08,historical,2.6672737e-08,9.540253e-09,4.338495e-08,1.679767e-08,2.5214984,310.96637,43.852203,312.2153,412.0696,114.44083,42.416214
1980,7,5.8975576e-08,historical,2.0038149e-08,7.2810846e-09,3.893743e-08,1.2326161e-08,2.6312401,297.35257,42.74385,337.38568,434.4408,101.36842,46.68482
1980,8,3.059943e-08,historical,1.1755363e-08,1.1829834e-08,1.8844066e-08,-1.3026736e-09,1.4877746,247.42175,39.04425,342.898,430.45447,71.1437,44.655743
1980,9,2.405689e-08,historical,9.24315e-09,9.202297e-09,1.4813739e-08,-1.2434591e-09,1.288179,230.45287,37.777313,307.2089,405.94675,54.805973,41.348392
1980,10,1.6756532e-08,historical,5.4270597e-09,5.1703295e-09,1.1329473e-08,-1.0268151e-09,1.1757746,184.82674,32.582703,265.3585,366.32608,30.60168,27.023638
1980,11,1.0100439e-08,historical,3.5101375e-09,4.6158477e-09,6.5903007e-09,-2.129822e-09,1.1218634,130.02034,26.800873,239.13641,329.63477,16.170883,4.236092
1980,12,4.5038955e-09,historical,7.9796264e-10,3.1025407e-09,3.705933e-09,-3.0973175e-09,1.0813123,101.49065,31.181572,226.54045,305.51077,9.689247,-3.799975
1981,1,1.9740576e-09,historical,2.9677613e-10,5.120929e-10,1.6772814e-09,-8.8800334e-10,0.62184525,121.522484,49.745705,203.54027,283.22922,5.470863,3.2647717
1981,2,1.4048356e-09,historical,3.41937e-10,2.7476108e-10,1.0628984e-09,-4.960975e-10,0.38867512,164.54399,69.75351,200.94891,281.18808,4.313508,22.988485
1981,3,4.4867563e-09,historical,2.5837017e-09,7.769169e-09,1.9030542e-09,-5.65991e-09,0.38321498,233.054,62.271347,232.49454,326.22345,17.799997,36.116688
1981,4,6.028007e-09,historical,3.5749652e-09,1.0698106e-08,2.453042e-09,-7.517566e-09,0.37974724,261.3081,45.95291,259.2189,363.0237,28.51207,71.8667
1981,5,4.355712e-08,historical,2.423578e-08,1.1271952e-08,1.932134e-08,1.2633908e-08,1.426934,276.67996,41.78798,301.78406,394.98956,79.536385,50.928963
1981,6,8.356439e-08,historical,3.456519e-08,1.02104245e-08,4.8999198e-08,2.407826e-08,2.8911035,288.8302,40.06711,319.8283,405.70822,117.570724,37.33714
1981,7,7.569043e-08,historical,2.3945411e-08,9.663137e-09,5.1745015e-08,1.4038511e-08,3.191658,287.94998,40.48163,348.91257,432.3913,122.16705,32.446842
1981,8,4.213879e-08,historical,1.7367498e-08,7.474382e-09,2.4771293e-08,8.533366e-09,2.0262005,267.8428,41.827377,341.04697,434.96732,89.866165,36.09581
1981,9,2.3031818e-08,historical,7.629793e-09,5.065902e-09,1.5402025e-08,6.2390443e-10,1.5312598,217.58926,36.782562,309.08694,403.74533,48.995865,39.64706
1981,10,4.0874055e-09,historical,1.5140237e-09,6.2098606e-09,2.5733817e-09,-6.360652e-09,0.4333955,158.73529,32.11892,271.1923,360.0611,14.808193,29.46728
1981,11,8.1399625e-09,historical,1.8971815e-09,7.897774e-09,6.2427805e-09,-7.234149e-09,1.5310289,118.66054,24.20691,242.23587,323.1409,17.005,6.3607464
1981,12,6.694836e-09,historical,7.7732787e-10,2.8199267e-09,5.9175083e-09,-3.0666778e-09,1.8788327,102.50595,20.48951,218.0833,303.31317,12.47122,2.384137
1982,1,1.232896e-09,historical,-1.3368409e-10,2.9224442e-10,1.3665801e-09,-1.2677671e-09,0.56965107,112.73641,35.80271,202.38658,279.6888,5.9868608,12.331281
1982,2,1.5491319e-09,historical,4.2974166e-10,1.1534377e-09,1.1193902e-09,-1.4266417e-09,0.38794312,166.8834,62.906242,204.92627,290.81656,6.6880016,18.89497
1982,3,4.0644688e-09,historical,1.8725426e-09,8.022609e-09,2.1919262e-09,-6.739711e-09,0.38168827,222.29504,50.33258,233.06993,326.04468,18.35183,40.49481
1982,4,6.142923e-09,historical,2.5818034e-09,1.3439255e-08,3.5611196e-09,-1.13460565e-08,0.37654147,249.67097,55.39006,267.40903,355.7923,29.436998,57.48139
1982,5,3.2681697e-08,historical,1.8136513e-08,1.575033e-08,1.4545187e-08,1.9794597e-09,1.084745,242.98785,37.974533,308.2195,387.34323,65.61788,49.542988
1982,6,6.9642105e-08,historical,2.8316443e-08,1.5992638e-08,4.132566e-08,1.1984884e-08,2.281612,217.47253,31.46643,340.1944,397.05258,88.52341,33.640182
1982,7,7.2432556e-08,historical,2.6131946e-08,1.5140765e-08,4.6300613e-08,1.070829e-08,2.674174,305.4529,42.896393,341.4367,431.7981,125.05549,32.700565
1982,8,4.3685326e-08,historical,2.2108873e-08,1.454599e-08,2.1576454e-08,6.339776e-09,1.9047627,242.90065,36.44716,342.86624,425.42136,90.46943,28.997675
1982,9,2.5952076e-08,historical,1.1447484e-08,1.1243932e-08,1.4504592e-08,-1.6368338e-09,1.3801701,227.46205,36.77144,306.7817,405.12897,58.219837,34.3051
1982,10,1.6390413e-08,historical,7.586403e-09,8.04904e-09,8.804012e-09,-2.326709e-09,1.2396338,169.22304,29.620453,274.72876,365.12817,31.671768,24.108326
1982,11,5.3088387e-09,historical,1.8732285e-09,6.070893e-09,3.4356105e-09,-5.972394e-09,1.0978128,119.23494,34.37722,232.51538,312.45642,10.142672,8.64407
1982,12,3.5898011e-09,historical,5.035503e-10,1.9301885e-09,3.0862508e-09,-2.897295e-09,0.9350118,102.46215,27.22091,208.95985,297.00763,7.3282585,-1.3834286
1983,1,1.5044324e-09,historical,2.5352886e-10,6.913414e-10,1.2509036e-09,-1.6556339e-09,0.39601573,115.65813,31.540062,214.14418,297.948,6.528287,6.4833155
1983,2,2.67228e-09,historical,1.1837363e-09,4.533219e-09,1.4885436e-09,-4.3656936e-09,0.3919727,157.16682,51.73812,225.85759,306.91937,7.974385,8.989938
1983,3,4.210959e-09,historical,2.4520164e-09,9.42229e-09,1.7589431e-09,-7.820623e-09,0.3876719,203.7235,55.231155,238.34094,323.01385,18.273972,29.798567
1983,4,5.659199e-09,historical,3.3838652e-09,1.0622797e-08,2.2753337e-09,-7.944015e-09,0.38488707,258.56708,45.757965,254.18771,355.19336,27.852922,75.38576
1983,5,1.7751784e-08,historical,1.1500936e-08,1.214257e-08,6.2508465e-09,-1.2278578e-09,0.6515498,249.9194,41.78618,304.7278,393.72833,45.80284,65.85908
1983,6,8.1546325e-08,historical,4.1449738e-08,1.2001944e-08,4.009659e-08,2.8959988e-08,2.5324795,288.2489,40.77092,313.62225,397.90643,117.25886,36.34181
1983,7,8.287686e-08,historical,2.959599e-08,8.573313e-09,5.328087e-08,2.0605762e-08,3.1638422,314.71527,43.909973,315.56204,413.20325,125.563416,37.256176
1983,8,5.262606e-08,historical,2.0278838e-08,5.6537073e-09,3.2347224e-08,1.3388969e-08,2.5233,257.71133,39.590027,336.0231,423.9378,87.25734,37.696053
1983,9,2.1150939e-08,historical,7.4286284e-09,6.4834147e-09,1.3722311e-08,-1.0061183e-09,1.3845993,206.98372,35.817825,308.98526,395.4276,46.106537,40.170433
1983,10,1.0447805e-08,historical,3.883595e-09,1.0482187e-08,6.56421e-09,-8.321786e-09,1.1101797,162.02649,30.000687,283.1079,367.8636,24.816875,28.941458
1983,11,7.8193905e-09,historical,1.8093924e-09,4.9729576e-09,6.0099987e-09,-4.685916e-09,1.9065154,117.236496,29.300743,227.95993,307.91928,14.150402,8.73737
1983,12,2.589555e-09,historical,1.7866021e-10,2.6880267e-09,2.4108946e-09,-3.7716665e-09,0.83666205,100.94717,31.530602,221.51236,297.78094,11.495979,-1.4427187
1984,1,1.7249476e-09,historical,3.9969203e-10,8.8703256e-10,1.3252557e-09,-1.5254976e-09,0.4084445,124.0816,45.221603,211.9944,294.0025,6.664105,-0.46609923
1984,2,2.8862408e-09,historical,1.109874e-09,6.154822e-09,1.7763667e-09,-5.9106804e-09,0.40389708,171.86852,63.85427,211.73329,302.03754,12.21143,-0.64784473
1984,3,3.937945e-09,historical,1.5781708e-09,8.94235e-09,2.3597746e-09,-8.088456e-09,0.3988475,226.88426,58.197556,225.73044,320.95035,19.656857,43.4397
1984,4,9.45673e-09,historical,5.203905e-09,1.4003199e-08,4.252824e-09,-9.398941e-09,0.44951746,251.79083,43.25818,279.43378,376.7506,36.22234,64.722145
1984,5,5.818197e-08,historical,2.9758802e-08,1.4100074e-08,2.8423166e-08,1.5160731e-08,1.7412668,279.75592,40.935867,310.00534,400.33258,91.71677,45.60038
1984,6,7.003204e-08,historical,2.362205e-08,1.076186e-08,4.640999e-08,1.24169794e-08,2.6671026,320.293,45.18994,321.84634,423.44577,119.24142,43.256123
1984,7,5.1087074e-08,historical,1.9043952e-08,7.589268e-09,3.2043122e-08,1.0712315e-08,2.3700938,283.9366,41.81691,355.8545,442.2506,99.71467,47.23455
1984,8,3.0648444e-08,historical,1.0624668e-08,9.906264e-09,2.0023775e-08,-6.6305533e-10,1.4483049,271.81766,43.46266,332.15976,434.39648,75.20939,45.07668
1984,9,1.7283432e-08,historical,5.6751843e-09,7.205496e-09,1.1608248e-08,-3.3216676e-09,1.1425817,232.2719,39.3181,322.12506,420.5246,50.435863,43.65121
1984,10,3.993905e-09,historical,1.4595645e-09,5.264344e-09,2.5343405e-09,-5.478587e-09,0.4337944,181.09683,36.621643,266.24286,366.32208,16.982737,36.45998
1984,11,2.551483e-09,historical,9.381307e-10,4.0602637e-09,1.6133522e-09,-4.262082e-09,0.39696085,130.61066,29.843697,228.90074,321.40793,8.098834,14.806449
1984,12,1.5456714e-09,historical,2.3640293e-10,1.3000363e-09,1.3092685e-09,-1.9286615e-09,0.39434186,104.416245,22.94352,216.99359,303.50677,6.440545,2.1216502
1985,1,1.4904318e-09,historical,3.03334e-10,3.3771566e-10,1.1870979e-09,-7.538742e-10,0.3897683,120.45105,44.765297,211.99849,292.91425,4.8052664,2.867817
1985,2,2.9893654e-09,historical,1.4487442e-09,4.3402384e-09,1.5406211e-09,-3.4927616e-09,0.3840953,161.04697,46.336044,223.20284,310.1595,7.9335036,11.086661
1985,3,4.017652e-09,historical,2.24686e-09,8.690826e-09,1.770792e-09,-6.9488455e-09,0.379106,206.64076,43.388107,243.60245,330.92926,16.228806,55.197357
1985,4,7.601316e-09,historical,4.594585e-09,1.1146022e-08,3.0067302e-09,-6.9702537e-09,0.39739367,268.52698,47.04979,268.62354,374.3825,31.385138,73.57711
1985,5,5.1303253e-08,historical,3.2445374e-08,1.0460546e-08,1.8857877e-08,2.1635714e-08,1.7143269,297.10712,44.645203,286.895,386.37955,82.79248,60.73071
1985,6,8.104321e-08,historical,3.043338e-08,8.510807e-09,5.0609827e-08,2.1631175e-08,3.1091402,278.3154,39.841568,325.60242,407.18024,115.56815,32.301712
1985,7,7.43576e-08,historical,2.8123042e-08,1.0238657e-08,4.623456e-08,1.7417074e-08,3.0056949,252.00963,36.27809,359.33698,427.8333,111.474144,27.138678
1985,8,3.787951e-08,historical,1.6665831e-08,1.1330917e-08,2.1213676e-08,3.2364857e-09,1.7232739,260.0016,40.746155,341.56406,432.8351,83.41717,38.18183
1985,9,2.432152e-08,historical,7.8149025e-09,7.472991e-09,1.650662e-08,-2.528156e-09,1.4316853,219.6297,36.501205,310.48102,405.8777,52.879772,36.116142
1985,10,6.465582e-09,historical,2.342093e-09,1.24306565e-08,4.123489e-09,-1.2270401e-08,0.6314562,167.4071,31.94571,284.10873,373.47543,23.420893,29.11757
1985,11,8.32286e-09,historical,2.490858e-09,5.9753607e-09,5.8320015e-09,-5.275081e-09,1.6820406,129.79942,28.16246,230.21646,318.59656,15.70117,15.550273
1985,12,2.238106e-09,historical,-2.4838934e-10,3.9286283e-10,2.4864952e-09,-2.1251478e-09,1.3080722,98.90937,37.272423,208.33527,276.35437,6.3386917,8.347676
1986,1,1.3518737e-09,historical,1.6611693e-10,6.87534e-10,1.1857568e-09,-1.7433541e-09,0.39969617,117.468796,39.00585,207.97096,289.93195,4.733796,5.772259
1986,2,2.7500027e-09,historical,1.282523e-09,4.8125015e-09,1.4674799e-09,-4.5485757e-09,0.39489007,165.09378,44.379745,213.63676,307.0444,8.895774,8.842986
1986,3,4.048855e-09,historical,1.7479934e-09,9.268572e-09,2.3008613e-09,-8.371824e-09,0.38996658,213.86885,46.57155,234.29582,323.66006,17.88251,52.342506
1986,4,8.326785e-09,historical,4.2871755e-09,1.41561065e-08,4.0396086e-09,-1.0573731e-08,0.42951286,244.92107,43.32135,281.4468,373.88672,33.62304,58.88489
1986,5,5.084381e-08,historical,2.8916853e-08,1.3107792e-08,2.1926958e-08,1.5224138e-08,1.5628054,291.31052,42.52983,290.74023,388.9506,86.213066,54.918793
1986,6,6.933674e-08,historical,2.7041441e-08,7.4767454e-09,4.2295298e-08,1.905315e-08,2.7409499,306.84232,44.222076,307.61243,399.4148,108.48626,55.542145
1986,7,5.2096258e-08,historical,1.2921574e-08,4.584317e-09,3.9174683e-08,7.507084e-09,2.8933022,310.06567,44.78195,326.29254,431.12946,96.37408,55.25753
1986,8,1.5838975e-08,historical,1.1622093e-08,1.24433726e-08,4.21688e-09,-2.5017834e-09,0.97870857,286.5485,50.74225,349.0455,456.24945,57.21913,60.033497
1986,9,1.2704908e-08,historical,5.081979e-09,1.2184811e-08,7.622928e-09,-9.0729255e-09,0.8823348,209.64635,36.848145,321.77078,410.2612,44.05226,43.027283
1986,10,1.5984062e-08,historical,4.696519e-09,5.4690306e-09,1.12875425e-08,-2.577281e-09,1.2447375,185.15039,33.26863,277.04358,376.18814,30.032164,29.832842
1986,11,3.2929515e-09,historical,9.543568e-10,6.574389e-09,2.3385949e-09,-6.9457236e-09,0.5549712,114.51223,29.472939,242.50586,318.7067,10.356182,11.256303
1986,12,1.2695741e-09,historical,1.4006755e-10,1.1709904e-09,1.1295066e-09,-2.1289213e-09,0.3895232,106.69808,24.487663,197.99261,291.6486,4.9731374,6.496236
1987,1,1.5517216e-09,historical,3.0145778e-10,1.3332665e-09,1.250264e-09,-1.9365234e-09,0.38535014,109.82376,32.75621,222.06996,298.16473,5.5004997,2.5756106
1987,2,2.2738973e-09,historical,9.42214e-10,4.0980286e-09,1.3316833e-09,-3.9099994e-09,0.37997377,169.27394,52.443253,213.70787,303.06024,10.581095,18.580965
1987,3,4.06406e-09,historical,2.2998066e-09,8.706222e-09,1.7642535e-09,-7.03712e-09,0.37450033,191.88055,43.16458,245.52312,326.4112,18.86212,33.94576
