year,month,gpp_kgC_m2_s,scenario,npp_kgC_m2_s,rh_kgC_m2_s,ra_kgC_m2_s,nbp_kgC_m2_s,lai_m2_m2,sw_down_sfc_W_m2,sw_up_sfc_W_m2,lw_down_atm_W_m2,lw_up_sfc_W_m2,latent_heat_W_m2,sensible_heat_W_m2
1980,1,3.4033925e-09,historical,4.5479734e-10,8.026349e-09,2.9485951e-09,-1.0758959e-08,0.86641514,33.48467,10.368502,282.12296,308.22427,8.464922,-6.0998993
1980,2,3.9515657e-09,historical,9.724986e-10,8.427732e-09,2.9790672e-09,-8.658706e-09,0.6906285,49.11424,9.105235,292.33655,315.4701,5.497589,-11.452669
1980,3,6.5553487e-09,historical,2.1198077e-09,1.0639501e-08,4.435541e-09,-8.889367e-09,0.67043024,79.14304,9.210422,316.89542,336.8805,26.071604,6.784577
1980,4,6.5864456e-09,historical,2.4687086e-09,8.664015e-09,4.1177373e-09,-6.5188672e-09,0.672422,122.0085,17.46817,300.75552,325.35803,32.178318,14.331819
1980,5,3.905155e-08,historical,2.2202377e-08,1.5442245e-08,1.6849175e-08,6.4457693e-09,1.2639832,198.07329,20.253483,324.3991,380.49377,78.05418,27.898613
1980,6,8.9902855e-08,historical,5.3225776e-08,1.6109972e-08,3.667708e-08,3.6807332e-08,2.6724079,266.12463,37.047813,326.8428,401.5994,91.37601,53.855724
1980,7,1.1602742e-07,historical,6.672938e-08,2.148284e-08,4.9298045e-08,4.416352e-08,3.384401,280.19162,39.71976,355.14697,431.24677,118.79496,34.10949
1980,8,7.728405e-08,historical,3.907261e-08,1.5903847e-08,3.821144e-08,1.7864407e-08,3.6913688,196.90343,28.585033,344.64978,409.13745,72.45755,28.377657
1980,9,4.5355613e-08,historical,1.9464547e-08,1.238063e-08,2.5891067e-08,-5.791694e-09,3.4461,122.4717,17.940851,327.347,379.11578,37.700485,19.287493
1980,10,2.4588223e-08,historical,7.865609e-09,1.28176705e-08,1.6722613e-08,-2.0256564e-08,2.6551018,53.997856,7.749639,335.78375,364.36697,18.725769,3.5825856
1980,11,1.1695389e-08,historical,2.8922476e-09,1.061455e-08,8.80314e-09,-1.8218243e-08,1.7824167,39.70288,6.38194,296.60498,333.2078,9.064443,-9.079413
1980,12,3.8873207e-09,historical,1.364686e-10,8.5845775e-09,3.750852e-09,-1.442764e-08,1.0975919,20.954075,6.764479,288.25882,306.88055,2.9969454,-7.455906
1981,1,1.775286e-09,historical,-1.993774e-10,7.3374826e-09,1.9746633e-09,-1.011749e-08,0.7254811,40.718487,16.042376,257.40472,290.00476,4.3101435,-6.8865623
1981,2,1.8811015e-09,historical,-4.1991206e-11,7.4269337e-09,1.9230926e-09,-7.841292e-09,0.66906863,67.71938,31.44839,266.2624,296.37347,13.667886,3.2833233
1981,3,5.0334887e-09,historical,1.565162e-09,9.720182e-09,3.4683267e-09,-8.45306e-09,0.65454876,120.85077,22.18031,286.0689,324.35147,26.485214,5.77651
1981,4,7.477269e-09,historical,2.3005664e-09,1.2450135e-08,5.1767017e-09,-1.044415e-08,0.65580416,170.49689,17.865255,291.30728,348.84464,45.04781,38.110237
1981,5,4.888286e-08,historical,2.8280796e-08,1.6308213e-08,2.0602066e-08,1.1678413e-08,1.5690185,201.46922,22.760351,320.86795,382.28522,71.12986,32.574074
1981,6,9.1832824e-08,historical,5.3923802e-08,1.9014628e-08,3.7909025e-08,3.4606334e-08,2.771045,219.76965,30.137947,347.49,405.33902,92.44695,33.02153
1981,7,1.0277035e-07,historical,5.927846e-08,1.7193074e-08,4.349189e-08,4.0599044e-08,3.3840842,246.6845,35.369217,340.0153,409.23364,97.84066,34.21217
1981,8,7.118078e-08,historical,3.5775816e-08,1.507128e-08,3.540496e-08,1.4422736e-08,3.6109664,192.6367,28.155167,337.0645,400.967,66.558846,32.345764
1981,9,4.4807045e-08,historical,1.8842487e-08,1.406899e-08,2.5964557e-08,-8.435133e-09,3.2697637,108.383224,15.756053,340.86783,385.11786,34.233334,14.810625
1981,10,2.5631966e-08,historical,9.3790335e-09,1.2663231e-08,1.6252931e-08,-1.6730455e-08,2.5223475,69.85666,10.058323,320.9234,360.38596,20.680128,6.5005627
1981,11,1.0453306e-08,historical,2.1893243e-09,1.0227845e-08,8.2639815e-09,-1.6662916e-08,1.7634906,32.885696,4.748435,307.40915,331.44058,8.648668,-10.18844
1981,12,3.0774616e-09,historical,3.4276548e-10,7.1977575e-09,2.7346962e-09,-1.4305371e-08,1.0609258,36.511017,16.274843,243.2416,286.45828,5.457291,-5.18746
1982,1,1.953006e-09,historical,-3.4220557e-10,8.068702e-09,2.2952116e-09,-9.399053e-09,0.71238637,42.183895,13.603504,269.54816,300.6424,1.7261212,-9.27389
1982,2,3.6465655e-09,historical,7.285269e-10,8.823424e-09,2.9180385e-09,-8.4577945e-09,0.68459094,50.12504,12.946089,297.9171,315.2371,9.893105,-8.337227
1982,3,3.9899803e-09,historical,1.2524821e-09,7.797055e-09,2.737498e-09,-6.8556414e-09,0.6713849,111.63067,20.588713,273.598,308.98776,23.8143,10.704028
1982,4,7.0754282e-09,historical,2.0894027e-09,1.1777516e-08,4.9860254e-09,-9.9780015e-09,0.6665162,89.6776,6.525487,325.75266,347.42056,38.196674,6.673996
1982,5,4.2337085e-08,historical,2.411867e-08,1.5423348e-08,1.8218417e-08,8.405681e-09,1.4634153,192.58739,19.887295,321.66992,375.79608,77.80969,30.900827
1982,6,1.0261491e-07,historical,6.1211686e-08,1.9673779e-08,4.1403226e-08,4.1248274e-08,2.8320808,254.59341,35.006123,339.4728,408.96777,103.554436,34.447094
1982,7,1.1345594e-07,historical,6.474054e-08,2.0176026e-08,4.8715403e-08,4.3100382e-08,3.5445569,279.16748,40.049088,345.9091,425.8272,112.26025,37.270695
1982,8,6.5017424e-08,historical,3.013978e-08,1.6017758e-08,3.4877644e-08,7.369335e-09,3.6715574,191.69212,27.723516,348.1857,409.6696,67.06652,31.458046
1982,9,3.9790258e-08,historical,1.5803803e-08,1.33047156e-08,2.3986454e-08,-1.2187734e-08,3.2499058,108.96893,15.871869,336.48822,380.38583,36.95078,17.777523
1982,10,2.5708855e-08,historical,9.549391e-09,1.2891425e-08,1.6159465e-08,-1.75855e-08,2.4210331,76.05001,10.794147,316.2133,361.25583,20.249197,6.123226
1982,11,1.1708355e-08,historical,2.6391973e-09,1.1145502e-08,9.069158e-09,-1.5445114e-08,1.7015438,37.448097,5.020763,311.63498,338.9254,9.870356,-4.9239182
