year,month,gpp_kgC_m2_s,scenario,npp_kgC_m2_s,rh_kgC_m2_s,ra_kgC_m2_s,nbp_kgC_m2_s,lai_m2_m2,sw_down_sfc_W_m2,sw_up_sfc_W_m2,lw_down_atm_W_m2,lw_up_sfc_W_m2,latent_heat_W_m2,sensible_heat_W_m2
1980,1,9.268174e-10,historical,-4.9127476e-11,5.551634e-09,9.759449e-10,-6.118514e-09,0.14456165,21.390404,2.8129833,285.03262,326.42712,23.266407,-8.111205
1980,2,1.1180992e-09,historical,1.6700831e-10,5.228605e-09,9.510909e-10,-5.330289e-09,0.12438679,41.92676,4.1558385,300.79272,325.1117,11.820692,-6.2022805
1980,3,1.3633433e-09,historical,1.7263191e-10,5.928566e-09,1.1907115e-09,-5.9131344e-09,0.11985268,90.405815,7.2315936,291.8153,336.82303,29.300539,0.54320115
1980,4,1.5848214e-09,historical,3.0698832e-10,5.772206e-09,1.2778331e-09,-5.601135e-09,0.11963067,130.75847,9.899256,299.89307,340.68335,43.942738,22.366274
1980,5,3.614645e-08,historical,2.2045427e-08,8.298263e-09,1.41010235e-08,1.362474e-08,0.90668416,220.27464,21.805918,319.16797,382.70312,45.141754,37.080902
1980,6,6.043697e-08,historical,3.4917235e-08,6.7615624e-09,2.5519736e-08,2.803601e-08,2.2713318,284.7642,33.92274,319.4498,400.72446,56.004597,58.904984
1980,7,2.8541347e-08,historical,9.185281e-09,6.2924124e-09,1.9356067e-08,-4.0526023e-09,2.271899,266.0111,31.054256,363.67572,443.52686,46.870476,61.78799
1980,8,3.1172405e-08,historical,1.3872795e-08,1.10234435e-08,1.7299609e-08,-1.4747054e-09,1.8833685,176.61877,20.343204,358.6018,416.98956,55.142742,27.956932
1980,9,1.8402588e-08,historical,6.9859603e-09,7.71245e-09,1.1416627e-08,-8.852534e-09,1.5431209,125.980156,14.618663,325.48947,392.25992,43.39531,19.465464
1980,10,8.794666e-09,historical,2.9870526e-09,8.837662e-09,5.8076135e-09,-1.2285702e-08,0.8261686,48.260334,5.491259,330.4274,368.088,37.625153,0.36610425
1980,11,2.8731477e-09,historical,4.2928205e-10,6.961113e-09,2.4438656e-09,-9.2203125e-09,0.40001157,22.057962,2.5272043,311.84387,346.84518,27.011513,-4.0293436
1980,12,1.034625e-09,historical,-1.03359564e-10,5.1190017e-09,1.1379846e-09,-6.428057e-09,0.22253391,11.952346,1.6112454,296.66907,328.01184,27.973673,1.498876
1981,1,6.445393e-10,historical,3.4645627e-11,3.9671946e-09,6.098937e-10,-4.652835e-09,0.1437411,18.133657,4.548361,278.46436,310.9078,21.331163,4.2353
1981,2,3.241548e-10,historical,-6.069039e-11,3.3591292e-09,3.8484518e-10,-3.5731935e-09,0.12337671,59.73534,24.518045,246.72542,292.91046,19.399273,16.658705
1981,3,9.622936e-10,historical,2.2169815e-10,4.205597e-09,7.405955e-10,-4.1050443e-09,0.12132459,81.95229,16.49543,298.8756,317.1307,18.019094,5.660848
1981,4,1.7164694e-09,historical,5.060952e-10,5.7109415e-09,1.2103741e-09,-5.3257376e-09,0.122789554,169.24925,12.855915,287.72556,340.52127,34.97173,32.90612
1981,5,3.0907312e-08,historical,1.9031642e-08,8.502744e-09,1.1875671e-08,1.04080335e-08,0.74156433,249.32722,23.22587,308.37405,382.59866,36.168472,51.87482
1981,6,7.550386e-08,historical,4.6787402e-08,8.691379e-09,2.871646e-08,3.7975163e-08,1.9682225,211.41174,24.796806,344.82,396.53955,60.95147,29.745914
1981,7,8.3924164e-08,historical,4.9419263e-08,8.38769e-09,3.45049e-08,4.0265483e-08,2.7104406,257.1168,31.11267,341.14078,412.96713,72.111275,34.57614
