year,month,gpp_kgC_m2_s,scenario,npp_kgC_m2_s,rh_kgC_m2_s,ra_kgC_m2_s,nbp_kgC_m2_s,lai_m2_m2,sw_down_sfc_W_m2,sw_up_sfc_W_m2,lw_down_atm_W_m2,lw_up_sfc_W_m2,latent_heat_W_m2,sensible_heat_W_m2
1980,1,3.1750072e-10,historical,-1.8472221e-10,7.127763e-09,5.0222293e-10,-7.918453e-09,0.080041796,88.91743,26.656843,248.8539,292.43088,21.019676,16.952827
1980,2,2.4542637e-10,historical,-5.4102245e-10,9.295104e-09,7.8644885e-10,-9.911302e-09,0.062231883,102.373344,36.874023,280.38687,313.17328,20.407513,10.140788
1980,3,6.3483735e-10,historical,-5.6224575e-10,1.2081931e-08,1.1970831e-09,-1.2714388e-08,0.06116795,171.34943,25.877932,289.4938,341.5794,54.140354,21.862303
1980,4,1.0118213e-09,historical,-7.048815e-10,1.4415968e-08,1.7167027e-09,-1.519088e-08,0.07790317,204.33693,23.870777,301.22046,366.317,54.89141,56.492943
1980,5,5.4451878e-08,historical,3.3288693e-08,1.738143e-08,2.1163185e-08,1.5837236e-08,1.5013922,245.61707,33.808216,326.80167,393.61774,97.02325,34.9373
1980,6,1.10651285e-07,historical,6.794637e-08,2.2611864e-08,4.2704922e-08,4.5104834e-08,2.6395998,304.25226,44.461067,360.4485,436.9883,133.0502,37.699047
1980,7,1.3758432e-07,historical,8.2366974e-08,2.1564633e-08,5.5217356e-08,5.8114196e-08,3.7409577,291.90536,44.785248,374.32086,447.9496,127.4118,34.40091
1980,8,1.293372e-07,historical,7.393643e-08,2.2192754e-08,5.540077e-08,4.0585274e-08,4.148351,269.48694,42.208477,381.6445,453.62512,118.07366,30.766241
1980,9,6.980666e-08,historical,3.4357754e-08,1.9121005e-08,3.5448906e-08,-9.053776e-09,3.674329,177.99515,28.075315,361.0855,423.1195,66.60626,24.27419
1980,10,3.4498946e-08,historical,1.5092935e-08,1.510306e-08,1.9406011e-08,-2.9418626e-08,2.749091,154.95627,24.418335,306.2284,379.34464,43.14013,24.481203
1980,11,9.75428e-09,historical,3.1400151e-09,1.15582175e-08,6.6142647e-09,-3.250737e-08,1.4315772,79.29599,13.697162,288.3136,332.2319,19.208967,13.803761
1980,12,2.7035034e-09,historical,6.061687e-10,9.871783e-09,2.0973345e-09,-1.7815303e-08,0.509952,74.51489,17.123137,267.8416,310.1842,19.76386,6.3523574
1981,1,7.614115e-10,historical,-1.5939756e-10,9.974654e-09,9.2080904e-10,-1.2851465e-08,0.11862361,77.72824,14.6942625,287.12045,310.94455,18.508444,15.001699
