year,month,gpp_kgC_m2_s,scenario,npp_kgC_m2_s,rh_kgC_m2_s,ra_kgC_m2_s,nbp_kgC_m2_s,lai_m2_m2,sw_down_sfc_W_m2,sw_up_sfc_W_m2,lw_down_atm_W_m2,lw_up_sfc_W_m2,latent_heat_W_m2,sensible_heat_W_m2
1980,1,1.937518e-10,historical,-2.5416969e-10,4.92737e-09,4.479215e-10,-5.257042e-09,0.73149085,110.61199,47.862316,213.65874,275.60272,21.623562,-5.4080377
1980,2,2.0747767e-10,historical,-2.4392907e-10,4.9221596e-09,4.5140675e-10,-5.192764e-09,0.70637286,143.27165,56.528885,213.78047,278.08405,30.946226,2.1808233
1980,3,3.0764624e-09,historical,3.6631645e-10,7.529298e-09,2.710146e-09,-7.1883592e-09,0.6856663,178.85806,44.202038,258.48532,313.03232,43.530544,14.503912
1980,4,6.9265185e-09,historical,2.2211446e-09,8.96883e-09,4.705374e-09,-6.7730297e-09,0.6797915,213.76483,38.12221,271.18945,330.00247,57.100636,35.84828
1980,5,9.645755e-09,historical,3.1049368e-09,1.0387492e-08,6.540818e-09,-7.307898e-09,0.7097891,232.40764,34.829533,293.9344,348.11624,78.601036,40.62494
1980,6,4.6796224e-08,historical,2.5154248e-08,1.4408271e-08,2.1641977e-08,1.0720633e-08,1.4753461,317.84332,44.38252,292.32944,382.6084,124.6178,48.12279
1980,7,7.981189e-08,historical,4.415136e-08,1.6502064e-08,3.566053e-08,2.7614686e-08,2.2792757,291.94296,41.25706,323.61874,404.42963,120.00719,38.184128
1980,8,7.453063e-08,historical,3.8859607e-08,1.4237404e-08,3.5671025e-08,2.3897506e-08,2.7248235,298.71585,42.712418,302.5988,399.2469,117.50089,37.41464
1980,9,4.5028294e-08,historical,1.9248029e-08,1.1293937e-08,2.5780265e-08,4.657318e-09,2.7555933,199.63817,28.699368,303.38257,379.74994,64.656456,30.873905
1980,10,2.0604803e-08,historical,7.8493265e-09,7.504587e-09,1.2755478e-08,-1.0749362e-08,2.3300643,145.72818,26.048826,264.13858,331.2187,36.139675,17.215487
1980,11,5.0767937e-09,historical,1.1745114e-09,6.872591e-09,3.902282e-09,-1.108934e-08,1.118132,104.7743,37.114307,230.4914,287.16992,25.550663,-2.536916
