year,month,gpp_kgC_m2_s,scenario,npp_kgC_m2_s,rh_kgC_m2_s,ra_kgC_m2_s,nbp_kgC_m2_s,lai_m2_m2,sw_down_sfc_W_m2,sw_up_sfc_W_m2,lw_down_atm_W_m2,lw_up_sfc_W_m2,latent_heat_W_m2,sensible_heat_W_m2
1980,1,3.0525953e-09,historical,1.8304419e-09,1.4797786e-08,1.2221533e-09,-1.3679e-08,1.733924,27.230995,6.10314,303.05884,323.16052,7.890747,-16.9245
1980,2,4.618537e-09,historical,3.0773806e-09,1.2644948e-08,1.5411565e-09,-1.0302306e-08,1.6200327,61.100224,18.433834,282.58887,316.09277,13.197388,-3.2175903
1980,3,1.398161e-08,historical,9.624097e-09,7.0397257e-09,4.3575126e-09,1.3688833e-09,1.6627934,137.71542,28.433197,264.36768,329.16498,26.174927,15.242554
1980,4,2.4051449e-08,historical,1.6012505e-08,7.947912e-09,8.038944e-09,6.1913967e-09,1.849538,138.33311,28.528435,309.6162,351.38483,42.541748,20.934875
1980,5,4.496287e-08,historical,2.7191827e-08,8.262942e-09,1.7771042e-08,1.5472445e-08,2.1961284,202.53773,42.821945,322.95142,380.51306,67.545715,26.409607
1980,6,5.2242854e-08,historical,2.7274243e-08,8.954057e-09,2.4968612e-08,1.3897715e-08,2.471808,261.83154,56.71788,324.63403,399.98486,81.44031,38.928894
1980,7,3.3278322e-08,historical,1.8068336e-08,1.0362784e-08,1.5209986e-08,4.611192e-09,2.4827948,249.87334,54.197357,330.64307,408.2943,69.248474,46.136963
1980,8,3.178602e-08,historical,1.6487611e-08,1.0101831e-08,1.5298406e-08,3.5231447e-09,2.4483526,207.93399,45.494186,337.23218,406.88684,60.86725,27.287354
1980,9,2.4219e-08,historical,1.3715434e-08,8.661627e-09,1.0503566e-08,2.66035e-09,2.396681,166.91747,36.132935,318.98267,388.021,41.78412,20.64801
1980,10,1.4073364e-08,historical,8.444651e-09,6.6230443e-09,5.6287126e-09,1.8652872e-10,2.2810771,88.700424,19.258286,311.4668,360.18024,20.769165,6.6380005
1980,11,2.6199896e-09,historical,1.650447e-09,4.9712234e-09,9.695426e-10,-4.160737e-09,2.038445,47.964664,15.553104,266.30762,306.55188,6.320801,-3.4519043
1980,12,5.263629e-10,historical,3.0903105e-10,3.410393e-09,2.1733186e-10,-3.730745e-09,1.8477447,35.826164,22.675404,266.54077,292.82452,6.026428,-13.829285
1981,1,2.0240712e-10,historical,1.1208751e-10,7.4656485e-09,9.031961e-11,-7.89635e-09,1.6650748,43.813866,30.108738,249.66187,277.87842,4.897766,-11.886719
1981,2,4.5854756e-10,historical,2.8291502e-10,1.0908201e-08,1.7563255e-10,-1.1114833e-08,1.5022812,81.44163,61.101135,260.16504,283.90918,6.1724243,-8.458008
1981,3,2.5781013e-09,historical,1.7309058e-09,1.153292e-08,8.4719554e-10,-1.0309015e-08,1.373958,130.27046,72.31711,274.27637,306.32294,11.572388,-3.0877075
1981,4,2.6772241e-08,historical,1.8045405e-08,1.8097523e-08,8.726837e-09,-1.7353557e-09,1.651693,142.87456,28.027573,307.3994,353.94775,43.969788,16.730103
1981,5,5.4632853e-08,historical,3.453467e-08,2.1413076e-08,2.0098186e-08,9.295774e-09,2.1810212,199.72984,41.253998,333.20947,387.9168,73.83215,18.86737
1981,6,6.503904e-08,historical,4.0627622e-08,2.1825524e-08,2.4411417e-08,1.3414067e-08,2.5169764,249.4584,53.827988,327.4077,396.19043,87.84161,31.753357
1981,7,5.5306817e-08,historical,2.9993785e-08,8.999198e-09,2.5313032e-08,1.6116878e-08,2.6036015,235.85919,51.30948,337.16113,404.16455,83.698975,28.97107
1981,8,5.4801305e-08,historical,2.7124791e-08,1.0788238e-08,2.7676515e-08,1.1410792e-08,2.610636,208.87616,45.885773,330.9934,397.0882,73.08362,20.848083
1981,9,3.7070585e-08,historical,1.9196255e-08,8.035437e-09,1.7874331e-08,7.570945e-09,2.5649052,159.2642,35.351067,320.09546,379.95984,47.956665,18.97992
1981,10,1.9592195e-08,historical,1.04422435e-08,6.8764465e-09,9.149951e-09,1.4234981e-09,2.442553,93.46384,20.670212,317.6057,365.15314,26.95111,2.171997
1981,11,4.9451403e-09,historical,3.09488e-09,4.9223665e-09,1.8502605e-09,-2.9116762e-09,2.1944747,44.498554,12.716627,280.93042,320.4151,10.850281,-5.99469
1981,12,7.682457e-10,historical,4.4023302e-10,7.700922e-09,3.2801267e-10,-7.9635765e-09,1.990041,29.774881,20.265118,282.61743,299.6922,4.4535522,-11.601746
1982,1,2.442131e-10,historical,1.42214e-10,3.4030168e-09,1.0199907e-10,-3.8583e-09,1.7961366,46.058147,34.341366,249.43945,271.78247,1.6348267,-7.1276245
1982,2,7.778116e-10,historical,4.947173e-10,7.034278e-09,2.8309427e-10,-7.0881523e-09,1.6227401,86.938446,62.11928,255.61499,284.10397,4.3514404,-7.682678
1982,3,6.5085426e-09,historical,4.449458e-09,1.4649315e-08,2.059084e-09,-1.0943342e-08,1.5148361,133.50085,68.56913,278.87842,315.50964,17.084106,-4.2297363
1982,4,2.2695946e-08,historical,1.5374154e-08,1.6989624e-08,7.3217916e-09,-3.2513428e-09,1.7035146,143.10329,35.139595,299.13745,343.78918,37.7312,18.796753
1982,5,4.7478625e-08,historical,3.1692295e-08,1.9300977e-08,1.5786332e-08,8.795504e-09,2.1445255,196.53592,41.011276,310.66333,366.17108,64.384705,27.830261
1982,6,7.2976334e-08,historical,4.3522043e-08,2.3224993e-08,2.9454293e-08,1.4555896e-08,2.532695,258.5274,56.079514,344.3506,414.37378,96.91156,24.59552
1982,7,4.358261e-08,historical,2.2504274e-08,9.801054e-09,2.1078332e-08,8.81255e-09,2.5696003,234.47154,50.8712,340.21484,406.38153,78.79523,36.299866
1982,8,4.6893128e-08,historical,2.3770857e-08,9.867381e-09,2.3122267e-08,9.631435e-09,2.5641696,205.33157,44.90367,325.95532,393.09088,68.684814,20.806946
1982,9,3.696374e-08,historical,1.9333823e-08,1.1956784e-08,1.7629915e-08,3.855222e-09,2.5285685,131.72269,29.07753,323.9275,374.35663,46.07361,10.007874
1982,10,2.1408365e-08,historical,1.2358388e-08,7.0919235e-09,9.049978e-09,2.933325e-09,2.4310143,81.357994,17.980003,314.3296,357.135,26.199036,-1.5933228
1982,11,4.6410116e-09,historical,2.871289e-09,1.1916031e-08,1.7697227e-09,-1.0091815e-08,2.2020643,42.104404,15.549051,293.08203,319.46075,14.600403,-7.5325317
1982,12,1.6610007e-09,historical,9.1346913e-10,1.2373945e-08,7.4753154e-10,-1.2213527e-08,1.9927619,22.347143,8.403584,293.97827,313.45612,8.265625,-7.9697266
1983,1,1.083311e-10,historical,6.113795e-11,1.1836705e-08,4.7193152e-11,-1.2367929e-08,1.8007094,48.92331,33.68873,228.09009,264.7232,2.8676147,-10.178467
