year,month,gpp_kgC_m2_s,scenario,npp_kgC_m2_s,rh_kgC_m2_s,ra_kgC_m2_s,nbp_kgC_m2_s,lai_m2_m2,sw_down_sfc_W_m2,sw_up_sfc_W_m2,lw_down_atm_W_m2,lw_up_sfc_W_m2,latent_heat_W_m2,sensible_heat_W_m2
1980,1,3.0505938e-09,historical,4.7807985e-10,2.107368e-08,2.572514e-09,-2.1106668e-08,1.7067821,16.762426,2.4975815,308.49146,331.1106,14.732544,-13.428162
1980,2,4.9624744e-09,historical,2.2585744e-09,1.6007961e-08,2.7039002e-09,-1.42892915e-08,1.5983468,51.444412,8.917912,284.3203,324.03003,18.627258,-1.2061768
1980,3,1.1183895e-08,historical,6.5601546e-09,1.0622207e-08,4.623739e-09,-4.8530433e-09,1.6228704,108.23543,14.675461,272.81616,329.15308,15.459656,8.494202
1980,4,1.9594362e-08,historical,1.1976811e-08,1.6680199e-08,7.617553e-09,-5.909245e-09,1.753631,118.74508,14.439537,308.71167,341.365,29.129883,14.592712
1980,5,5.31525e-08,historical,3.492528e-08,8.92169e-09,1.822722e-08,2.3097957e-08,2.4303958,231.91376,28.296768,298.97534,360.83527,49.728638,26.012451
1980,6,6.063214e-08,historical,3.7967656e-08,8.3974445e-09,2.2664485e-08,2.610064e-08,2.9078197,257.0874,31.397232,310.79443,380.4558,65.94537,32.418335
1980,7,4.568037e-08,historical,2.642918e-08,9.786074e-09,1.9251187e-08,1.3981854e-08,3.002373,242.33292,29.846252,318.28198,393.11743,69.30066,34.62909
1980,8,3.6288302e-08,historical,2.0467498e-08,1.0680503e-08,1.5820804e-08,7.627936e-09,2.9962964,209.42387,26.156143,327.01685,398.6358,66.19086,30.433838
1980,9,3.000725e-08,historical,1.5784407e-08,9.208027e-09,1.4222845e-08,4.6876516e-09,2.959362,120.15636,15.553764,332.5293,386.82373,61.02307,12.470642
1980,10,1.599907e-08,historical,7.925182e-09,7.491583e-09,8.073888e-09,-7.111357e-10,2.834197,61.087025,8.401249,321.85815,370.0204,43.06073,5.095337
1980,11,5.5610676e-09,historical,2.195929e-09,6.9499313e-09,3.3651384e-09,-5.384959e-09,2.2820823,29.887001,5.0381813,287.72192,341.03387,40.5166,16.565796
1980,12,1.6446894e-09,historical,-1.5423197e-11,1.1364086e-08,1.6601126e-09,-1.1871079e-08,1.7423648,13.572129,2.3670263,293.92114,329.4132,26.255249,-1.1638794
1981,1,1.3774849e-09,historical,1.3071678e-10,1.3092038e-08,1.2467681e-09,-1.3389287e-08,1.630745,22.016836,6.021571,279.2959,316.97113,16.815735,-3.2562256
1981,2,1.6386952e-09,historical,5.853983e-10,1.594818e-08,1.0532969e-09,-1.5742286e-08,1.5314982,50.537075,15.24305,266.34448,307.45236,17.71167,2.303955
1981,3,7.15772e-09,historical,3.926741e-09,1.5383607e-08,3.2309795e-09,-1.1972124e-08,1.498199,88.16357,13.043739,287.8413,322.67828,13.542297,1.5648804
1981,4,2.7845354e-08,historical,1.7404185e-08,1.505842e-08,1.04411715e-08,9.671798e-10,1.8561765,144.33702,17.47908,307.56958,345.4698,25.143616,8.91394
1981,5,6.605452e-08,historical,4.3134296e-08,1.3056558e-08,2.292022e-08,2.673405e-08,2.6353514,250.35918,30.31784,300.99365,366.79645,48.83545,24.982727
1981,6,5.922089e-08,historical,3.608902e-08,8.899555e-09,2.3131868e-08,2.3785878e-08,2.9733193,245.19896,29.912415,319.8318,382.78174,64.66528,32.651733
1981,7,5.1884644e-08,historical,2.9453439e-08,9.625606e-09,2.2431205e-08,1.6721632e-08,3.0373995,218.50476,26.761719,332.69287,390.11993,74.04346,31.03778
1981,8,4.6301327e-08,historical,2.5627086e-08,9.416053e-09,2.0674241e-08,1.32819595e-08,3.039034,174.63968,21.972107,325.95386,387.33502,66.230225,20.662231
1981,9,3.18177e-08,historical,1.7905498e-08,8.800581e-09,1.3912202e-08,7.0197657e-09,3.0138037,139.93288,18.331017,312.27637,380.6598,62.609802,16.89685
1981,10,1.3932992e-08,historical,6.379407e-09,7.749955e-09,7.553585e-09,-2.4251943e-09,2.870214,53.88256,7.296669,328.41357,369.29266,34.617798,3.873108
1981,11,6.7397874e-09,historical,2.4769065e-09,1.0295869e-08,4.2628807e-09,-8.5173735e-09,2.391955,24.796581,3.9451447,312.11328,347.5194,38.570435,4.236389
1981,12,1.4060566e-09,historical,-8.953909e-12,1.646686e-08,1.4150106e-09,-1.6969274e-08,1.7615064,13.225491,2.7175426,288.94043,325.02173,28.947693,8.859192
1982,1,8.933813e-10,historical,7.9062604e-11,1.0455754e-08,8.143187e-10,-1.07958344e-08,1.6438593,20.152557,6.24862,277.51514,310.7633,20.080688,9.399658
1982,2,2.665388e-09,historical,1.1037355e-09,1.5969245e-08,1.5616525e-09,-1.5284414e-08,1.5452375,49.227123,11.629513,276.79932,309.094,7.329712,-1.6258545
1982,3,8.342316e-09,historical,4.5568433e-09,1.8069203e-08,3.7854724e-09,-1.409982e-08,1.5135616,84.65921,10.979317,295.8125,325.9751,18.514526,2.559204
1982,4,1.4069132e-08,historical,8.49556e-09,1.8544744e-08,5.5735723e-09,-1.0889181e-08,1.5662731,119.46174,15.7015915,298.06738,332.807,26.29535,14.787415
1982,5,5.136098e-08,historical,3.3848018e-08,1.3016865e-08,1.751296e-08,1.83106e-08,2.302932,232.78046,28.207642,295.7849,356.55225,45.386536,26.180359
1982,6,6.981779e-08,historical,4.3639815e-08,1.1518575e-08,2.6177974e-08,2.8307927e-08,2.8781304,244.92795,29.781982,327.21802,387.26965,57.22168,22.684265
1982,7,6.335776e-08,historical,3.6767204e-08,1.5736855e-08,2.6590557e-08,1.7227261e-08,3.0461273,246.59059,30.288788,325.73218,397.0221,78.34625,31.930847
1982,8,6.284732e-08,historical,3.5316088e-08,1.7747661e-08,2.7531234e-08,1.3591131e-08,3.090797,169.35396,21.24704,332.92798,388.34814,76.79999,14.06781
1982,9,4.6224894e-08,historical,2.5318188e-08,1.2893548e-08,2.0906702e-08,9.413942e-09,3.0405798,126.77976,16.57611,320.96704,381.46643,54.98065,8.141785
1982,10,2.05545e-08,historical,9.75495e-09,1.0055177e-08,1.07995515e-08,-1.7142389e-09,2.965231,56.605858,7.6228523,327.9358,370.12683,42.093994,0.72314453
1982,11,7.2404993e-09,historical,2.5804232e-09,2.1530072e-08,4.6600763e-09,-1.9701618e-08,2.3200147,23.767897,3.5645542,306.9812,345.34216,44.446228,0.19042969
1982,12,2.0827133e-09,historical,-1.0943379e-10,2.032089e-08,2.1921471e-09,-2.0973332e-08,1.8221484,13.541703,2.096712,291.60864,331.17963,26.526001,-0.17810059
1983,1,1.067265e-09,historical,1.401473e-10,1.5900019e-08,9.2711766e-10,-1.6201783e-08,1.6982661,24.931566,9.004184,263.36133,307.44446,18.029602,3.9126587
1983,2,2.7435672e-09,historical,1.1021105e-09,1.4145071e-08,1.6414564e-09,-1.3480014e-08,1.5934212,52.52636,11.075134,273.22412,312.8551,10.448303,-0.7097168
1983,3,8.463113e-09,historical,4.7916493e-09,1.5118243e-08,3.671464e-09,-1.0933453e-08,1.541079,96.670975,20.257019,287.59595,321.15997,14.839355,1.236023
1983,4,1.7131699e-08,historical,1.0436402e-08,1.6661996e-08,6.6952968e-09,-7.2608524e-09,1.6715841,135.24399,16.689293,296.78516,337.3067,35.29431,8.498413
1983,5,4.7593208e-08,historical,3.1227408e-08,1.7303119e-08,1.63658e-08,1.1519828e-08,2.2318642,206.39156,24.828552,302.7666,353.68347,47.775146,22.565552
1983,6,6.9056455e-08,historical,4.389563e-08,8.6314955e-09,2.516083e-08,3.14633e-08,2.8119848,298.00626,36.404846,306.06104,387.00397,57.798462,34.892456
1983,7,5.453739e-08,historical,3.367984e-08,9.800697e-09,2.0857552e-08,2.0861107e-08,3.0036564,251.07239,30.865692,325.5149,396.93445,71.98309,34.29474
1983,8,3.4813983e-08,historical,1.9578867e-08,1.1820887e-08,1.5235116e-08,5.826921e-09,2.9955616,211.21567,26.348572,332.1687,408.8142,68.199585,22.632996
1983,9,2.3984807e-08,historical,1.3560755e-08,8.218962e-09,1.0424051e-08,3.8718433e-09,2.937706,113.38168,14.577156,320.40967,381.93115,73.59009,14.040405
1983,10,1.47769414e-08,historical,7.896227e-09,6.520385e-09,6.880714e-09,3.3408598e-10,2.566254,68.97391,9.6018715,300.99658,360.78906,55.477417,13.650269
1983,11,2.6337115e-09,historical,8.0233775e-10,5.3182436e-09,1.8313737e-09,-5.0756603e-09,1.8229643,31.153288,5.0057907,277.14453,332.58783,30.931763,5.3461914
1983,12,1.8082265e-09,historical,4.0084547e-11,1.4705626e-08,1.768142e-09,-1.5140312e-08,1.7067127,15.750983,2.5606737,289.97876,327.49292,24.440552,-6.5012817
