year,month,gpp_kgC_m2_s,scenario,npp_kgC_m2_s,rh_kgC_m2_s,ra_kgC_m2_s,nbp_kgC_m2_s,lai_m2_m2,sw_down_sfc_W_m2,sw_up_sfc_W_m2,lw_down_atm_W_m2,lw_up_sfc_W_m2,latent_heat_W_m2,sensible_heat_W_m2
1980,1,2.4753422e-09,historical,1.515447e-09,9.9427e-09,9.598952e-10,-9.437838e-09,2.192104,98.94445,41.936615,236.56006,285.48706,7.156006,15.879272
1980,2,1.7252199e-09,historical,1.1049468e-09,1.2384237e-08,6.2027306e-10,-1.2122774e-08,2.0402281,122.420296,56.75556,253.53296,294.85468,12.780273,23.167664
1980,3,8.862052e-09,historical,6.0056764e-09,1.2485818e-08,2.856376e-09,-7.589973e-09,1.9361142,192.40901,93.94701,252.8789,297.9143,19.701721,20.938782
1980,4,4.9067754e-08,historical,3.2556972e-08,2.3804079e-08,1.651078e-08,5.1716245e-09,2.1936135,211.3106,43.73198,298.06738,357.63696,63.569946,29.63324
1980,5,8.7611674e-08,historical,5.4044524e-08,3.8650516e-08,3.3567154e-08,7.929239e-09,2.6380413,232.39598,49.718018,343.06592,396.03058,97.74432,20.619873
1980,6,9.476394e-08,historical,5.18623e-08,2.8886964e-08,4.2901643e-08,1.5344865e-08,2.8691332,307.9095,67.37344,363.09985,435.8692,127.165344,28.011353
1980,7,6.798619e-08,historical,3.194244e-08,2.3346589e-08,3.604375e-08,3.734948e-09,2.8602517,296.1688,65.1454,368.91992,446.9264,109.72357,33.496582
1980,8,3.4522053e-08,historical,1.499482e-08,1.9409322e-08,1.9527233e-08,-6.609562e-09,2.732654,279.8502,60.880707,372.95142,462.66187,70.45947,50.357727
1980,9,3.0437985e-08,historical,1.6146371e-08,1.4084561e-08,1.4291612e-08,-4.590024e-10,2.6192777,217.80222,47.35193,341.4414,421.95074,52.344543,39.175232
1980,10,3.1171723e-08,historical,1.9127896e-08,1.2440897e-08,1.2043827e-08,3.42809e-09,2.5620918,128.97685,28.212471,314.17188,365.5503,44.37921,15.998901
1980,11,1.7440168e-08,historical,9.8169e-09,2.1201924e-08,7.623268e-09,-1.3562643e-08,2.448887,78.870514,17.269302,300.91968,343.69263,27.444153,0.18920898
1980,12,6.3799255e-09,historical,3.600671e-09,1.7040925e-08,2.7792546e-09,-1.4796515e-08,2.3296106,79.77869,37.995956,263.6316,303.0675,14.717712,1.9481201
1981,1,2.85713e-09,historical,1.8377115e-09,1.3822072e-08,1.0194185e-09,-1.3000301e-08,2.164864,103.31659,40.043705,239.72559,295.31543,11.399048,13.012085
1981,2,1.6869062e-09,historical,1.0934281e-09,1.0232048e-08,5.9347793e-10,-9.9799395e-09,2.0096505,147.32697,92.545586,234.47827,274.10834,10.973145,8.634216
1981,3,3.3567826e-08,historical,2.1954307e-08,1.8437301e-08,1.1613516e-08,9.488634e-10,2.0947368,170.35054,35.244965,288.20166,347.01245,43.890198,15.703613
1981,4,5.765035e-08,historical,3.76717e-08,2.668737e-08,1.9978653e-08,5.8788134e-09,2.4384859,199.49364,42.530838,307.41162,363.44928,64.8584,28.648132
1981,5,9.272912e-08,historical,5.6719472e-08,3.9902492e-08,3.600964e-08,8.331444e-09,2.7396994,249.78961,54.06871,339.99658,397.7337,103.66388,21.926392
1981,6,9.431219e-08,historical,5.1031442e-08,2.8560306e-08,4.3280753e-08,1.4975997e-08,2.8951318,290.24625,63.26593,374.94238,440.65833,125.89368,22.143677
1981,7,7.310571e-08,historical,3.724594e-08,1.7355276e-08,3.5859767e-08,1.41591805e-08,2.8943157,293.04874,63.955536,368.61255,441.6306,112.829346,32.854004
1981,8,5.359682e-08,historical,2.4396307e-08,2.1113983e-08,2.9200514e-08,-1.9033977e-10,2.7900329,237.80994,51.6817,384.43286,449.79572,95.66266,19.747864
1981,9,5.6689547e-08,historical,3.1634034e-08,1.4061241e-08,2.5055513e-08,1.2855147e-08,2.769293,220.28314,48.07039,342.60938,415.52686,79.163574,23.27478
1981,10,3.636578e-08,historical,1.962107e-08,1.1839879e-08,1.6744707e-08,4.012055e-09,2.7101386,145.62688,32.081253,324.06396,385.9751,46.355286,9.674072
1981,11,7.325962e-09,historical,4.737851e-09,2.2575746e-08,2.5881113e-09,-1.9425201e-08,2.5162084,101.331314,54.333893,265.26807,302.54074,13.427856,8.16217
1981,12,1.8066458e-09,historical,1.1513727e-09,1.3340052e-08,6.5527306e-10,-1.3250687e-08,2.335239,86.99967,37.75186,234.48047,277.41245,6.5770874,23.28949
1982,1,7.031257e-10,historical,4.5494103e-10,1.3264237e-08,2.4818467e-10,-1.3669508e-08,2.1552968,108.26072,80.77732,232.51782,261.83105,8.181213,-4.131714
1982,2,7.525634e-09,historical,4.6878887e-09,1.443495e-08,2.8377454e-09,-1.0848886e-08,2.0348086,119.487656,58.601803,281.20044,311.0678,9.511597,4.364563
1982,3,3.324156e-08,historical,2.1833854e-08,2.184548e-08,1.1407705e-08,-2.6823326e-09,2.16684,175.1639,46.453827,284.35938,342.34674,44.914978,19.187622
1982,4,6.535922e-08,historical,4.1889578e-08,3.0322614e-08,2.3469637e-08,6.1690852e-09,2.4716444,212.27574,47.11586,313.12964,371.31885,75.84979,23.89862
1982,5,1.014977e-07,historical,6.129253e-08,4.5430564e-08,4.0205162e-08,6.6666495e-09,2.806924,260.2136,56.842987,343.08472,404.82434,106.881165,24.957642
1982,6,1.1263207e-07,historical,6.598954e-08,4.917542e-08,4.6642533e-08,6.639981e-09,2.9558036,287.9026,63.5708,353.60913,421.04968,126.04541,20.46399
1982,7,6.975868e-08,historical,3.668227e-08,1.5321376e-08,3.3076404e-08,1.6163415e-08,2.9205174,311.5795,68.89514,359.8999,443.05798,114.563416,35.93982
1982,8,5.079207e-08,historical,2.6084368e-08,1.5928201e-08,2.4707706e-08,6.4184853e-09,2.8253229,273.08774,59.950974,360.1621,437.88538,92.990845,37.5343
