year,month,gpp_kgC_m2_s,scenario,npp_kgC_m2_s,rh_kgC_m2_s,ra_kgC_m2_s,nbp_kgC_m2_s,lai_m2_m2,sw_down_sfc_W_m2,sw_up_sfc_W_m2,lw_down_atm_W_m2,lw_up_sfc_W_m2,latent_heat_W_m2,sensible_heat_W_m2
1980,1,6.79073e-11,historical,4.7352917e-11,2.847998e-09,2.0554386e-11,-2.8344105e-09,2.0064423,105.20443,49.691822,214.46973,260.05188,9.085022,7.6644897
1980,2,1.7099304e-10,historical,1.1955843e-10,3.1899539e-09,5.1434614e-11,-3.0998657e-09,1.9385927,135.0251,60.967796,231.27246,279.18073,14.436035,12.523071
1980,3,1.7693027e-09,historical,1.2432997e-09,7.493804e-09,5.260031e-10,-6.276243e-09,1.8861922,185.9149,85.05134,239.1167,287.08795,23.00946,20.148071
1980,4,1.6956472e-08,historical,1.1691771e-08,1.6936104e-08,5.2647002e-09,-5.271924e-09,1.8891968,239.59969,83.97664,258.35327,325.12164,41.315247,27.245361
1980,5,3.3399676e-08,historical,2.2862698e-08,2.5694154e-08,1.0536978e-08,-2.8803773e-09,2.092784,246.37476,67.64244,280.42505,344.7506,68.31073,32.931152
1980,6,4.083611e-08,historical,2.6713499e-08,9.626458e-09,1.4122614e-08,1.6982533e-08,2.394771,316.5868,64.27849,284.21753,388.0952,84.22015,53.905212
1980,7,2.2606473e-08,historical,1.3166354e-08,1.2742657e-08,9.44012e-09,2.830762e-10,2.4331207,304.0216,62.096085,310.9546,422.00537,63.694214,58.71051
1980,8,1.41314604e-08,historical,8.017314e-09,1.3009753e-08,6.114146e-09,-5.10493e-09,2.3932369,262.2791,53.744186,311.73242,417.8512,48.973145,49.013794
1980,9,1.0303807e-08,historical,6.3005348e-09,1.0625424e-08,4.003272e-09,-4.410349e-09,2.3341806,211.90962,43.16565,300.62402,391.3877,36.657654,42.75592
1980,10,9.246823e-09,historical,6.2121464e-09,6.3440098e-09,3.034677e-09,-2.0153824e-10,2.2971945,167.29568,37.64653,257.4026,341.86456,30.277954,21.663208
1980,11,2.6723992e-09,historical,1.8087788e-09,4.3066435e-09,8.6362045e-10,-2.5474638e-09,2.2372296,110.19477,46.472187,240.21948,291.0617,13.471619,8.705505
1980,12,3.6584596e-10,historical,2.5517038e-10,3.0467768e-09,1.1067558e-10,-2.8329281e-09,2.145061,94.39561,45.812534,211.1814,259.60013,9.353821,3.1206055
1981,1,2.71918e-10,historical,1.9051068e-10,2.9004095e-09,8.140729e-11,-2.745343e-09,2.0610402,115.6992,53.0782,209.58228,266.47174,8.26239,5.359497
1981,2,4.3835965e-10,historical,3.0545505e-10,3.0520517e-09,1.3290458e-10,-2.7775002e-09,1.9858515,136.06041,62.048088,232.61816,281.1557,15.204895,9.96228
1981,3,2.8917782e-09,historical,2.0235025e-09,1.4771697e-08,8.682759e-10,-1.27752084e-08,1.9225522,201.09578,86.55653,233.47705,297.02335,21.18988,26.847229
1981,4,1.0097615e-08,historical,7.0462733e-09,1.7985197e-08,3.0513418e-09,-1.096274e-08,1.8784947,257.77585,114.08673,243.1399,307.43384,30.756897,28.26587
1981,5,3.7870016e-08,historical,2.566093e-08,1.588515e-08,1.2209088e-08,9.719256e-09,2.0886545,265.745,54.979218,283.5337,362.3255,79.5553,38.948975
1981,6,5.8343236e-08,historical,3.8157772e-08,2.2175366e-08,2.018546e-08,1.5826641e-08,2.4296231,284.66632,57.613113,304.07666,387.3484,101.54144,30.809204
1981,7,6.0806215e-08,historical,3.8952436e-08,1.8865476e-08,2.1853774e-08,1.981809e-08,2.6846292,289.71396,60.107574,311.75928,398.5893,100.52661,36.53705
1981,8,3.279126e-08,historical,1.9968729e-08,1.1636326e-08,1.282253e-08,8.107426e-09,2.6908646,257.14767,54.093567,311.25928,401.4582,72.81488,38.07727
1981,9,3.6695912e-08,historical,2.3923018e-08,9.291297e-09,1.2772894e-08,1.4412139e-08,2.7206113,224.94606,47.376205,285.63086,372.1336,64.81287,27.543335
1981,10,1.3665759e-08,historical,9.256041e-09,6.854826e-09,4.4097175e-09,2.2933735e-09,2.677443,156.63231,54.271294,256.87354,318.77655,27.355225,16.358154
1981,11,2.5223947e-09,historical,1.7256638e-09,5.810818e-09,7.9673085e-10,-4.1511146e-09,2.496343,119.07389,62.915047,226.73633,270.44763,11.097656,10.942749
1981,12,5.410767e-10,historical,3.8345363e-10,4.202336e-09,1.5762305e-10,-3.8763615e-09,2.4232545,96.391335,56.705704,210.77856,252.25119,5.720459,2.4885864
1982,1,3.8069778e-10,historical,2.6835392e-10,5.925838e-09,1.12343856e-10,-5.7077387e-09,2.3271558,114.53656,66.495514,209.10132,257.60944,8.153015,-0.34838867
1982,2,7.283381e-10,historical,5.08833e-10,1.3137652e-08,2.1950515e-10,-1.2672745e-08,2.2329583,146.69398,86.02543,234.3667,277.42215,10.993286,7.4277954
1982,3,4.2453188e-09,historical,2.9736162e-09,1.70917e-08,1.2717025e-09,-1.4156582e-08,2.1507587,220.27025,125.021164,233.54639,290.23547,15.358459,13.379028
1982,4,1.6021449e-08,historical,1.1146962e-08,1.8967059e-08,4.8744884e-09,-7.854593e-09,2.1005254,252.78183,121.48642,253.80469,309.54376,29.89325,19.003113
1982,5,4.785954e-08,historical,3.2783337e-08,2.6096957e-08,1.5076203e-08,6.6122716e-09,2.3189895,232.78154,55.02922,286.41992,349.7763,66.66669,33.361023
1982,6,7.338758e-08,historical,4.848135e-08,1.6759568e-08,2.4906234e-08,3.152054e-08,2.6643572,291.87848,60.56407,295.2224,380.32825,108.85663,27.091125
1982,7,4.6358252e-08,historical,2.7798304e-08,1.1810273e-08,1.8559948e-08,1.5699568e-08,2.756925,316.98093,66.884766,306.9485,411.8086,87.513855,48.930115
1982,8,4.3732694e-08,historical,2.6555764e-08,1.235857e-08,1.717693e-08,1.3907435e-08,2.784031,260.87747,55.738922,312.77173,397.3723,85.92285,32.613586
1982,9,3.5228364e-08,historical,2.2874643e-08,8.624154e-09,1.2353722e-08,1.4021104e-08,2.7937398,229.34764,48.76805,277.07715,368.56494,64.618225,25.854492
1982,10,1.25085e-08,historical,8.368545e-09,5.643762e-09,4.139956e-09,2.6150038e-09,2.731565,156.43967,53.009735,255.32007,317.26178,25.306152,20.485474
1982,11,4.9236015e-09,historical,3.403209e-09,4.0694608e-09,1.5203925e-09,-7.4147066e-10,2.6304164,121.312744,38.936028,221.95459,293.88452,12.44519,8.976257
1982,12,9.723328e-10,historical,6.665739e-10,3.4215997e-09,3.0575892e-10,-2.817603e-09,2.5204241,90.01132,41.71104,227.50562,274.72308,8.85437,3.9492188
1983,1,6.665746e-10,historical,4.5241647e-10,3.4382437e-09,2.1415808e-10,-3.0405618e-09,2.3739188,103.666435,52.988213,223.35596,268.1972,8.016785,2.3469238
1983,2,7.474384e-10,historical,5.2491383e-10,6.442339e-09,2.225246e-10,-5.965268e-09,2.3065338,152.6605,88.2451,226.2456,271.21103,10.025879,10.682983
1983,3,2.3285673e-09,historical,1.6261801e-09,1.6637438e-08,7.0238726e-10,-1.5053113e-08,2.2298458,199.94528,115.42553,232.25098,280.01627,16.36908,13.643799
1983,4,1.840367e-08,historical,1.2775885e-08,1.9057502e-08,5.6277845e-09,-6.321978e-09,2.1902683,258.40256,123.430984,254.23047,310.57196,30.79889,19.833069
1983,5,5.7958726e-08,historical,3.9233313e-08,1.4895686e-08,1.8725409e-08,2.4215618e-08,2.4861572,281.74692,57.962723,276.8037,363.16034,88.61255,36.037964
1983,6,5.838123e-08,historical,3.7509356e-08,1.3089988e-08,2.0871871e-08,2.4188642e-08,2.7146938,290.63336,60.742783,300.07983,387.24866,98.19391,35.57898
1983,7,3.71989e-08,historical,2.1745917e-08,1.2745667e-08,1.5452985e-08,8.7289695e-09,2.776779,306.66248,64.477264,307.21265,411.1004,83.88037,46.521606
1983,8,2.9274776e-08,historical,1.7149093e-08,1.2815189e-08,1.21256845e-08,4.1028367e-09,2.739619,246.61348,51.60176,318.7229,405.48346,66.69763,38.90442
1983,9,3.8337433e-08,historical,2.4627687e-08,1.5575035e-08,1.3709749e-08,8.8143e-09,2.7799778,201.91002,44.216522,295.61523,367.45862,63.2265,24.720398
1983,10,2.3902265e-08,historical,1.5791018e-08,6.4631283e-09,8.111247e-09,9.1608205e-09,2.7988114,153.15245,38.2342,266.59253,334.35962,37.84558,16.330933
1983,11,4.143779e-09,historical,2.8286857e-09,4.478622e-09,1.3150933e-09,-1.7294437e-09,2.6991127,109.61997,51.495895,236.88867,281.03552,13.99408,7.8632812
1983,12,7.0388567e-10,historical,4.943686e-10,3.6514158e-09,2.0951703e-10,-3.2244467e-09,2.5843906,99.65241,57.016872,202.18701,249.88165,5.3147583,2.9121704
