model,year,month,days_in_mo,scenario,gpp_gCm2d,rh_gCm2d,ra_gCm2d,lai_m2_m2
CESM2,1980,1,31,historical,0.1936216224,0.49418069760000005,0.18215377632,0.7806963
CESM2,1980,2,29,historical,0.0734188752,0.58493798784,0.0668542032,0.26860487
CESM2,1980,3,31,historical,0.829805472,1.3180016736,0.5166934272,1.098847
CESM2,1980,4,30,historical,2.2860978623999997,1.4373510912,1.296229392,1.750045
CESM2,1980,5,31,historical,5.808636144,1.2129968592,2.996005104,2.1886199
CESM2,1980,6,30,historical,8.862664032,1.2419343360000001,4.4176014144,3.2293344
CESM2,1980,7,31,historical,8.358672096,0.8986989312,4.9892918112,3.3273568
CESM2,1980,8,31,historical,4.6491488352,0.9238702752,2.7861906528,2.5286384
CESM2,1980,9,30,historical,2.317188384,1.192100112,0.9423954720000001,1.6957736
CESM2,1980,10,31,historical,1.1456056799999998,1.4497961472,0.6562444608,1.1063476
CESM2,1980,11,30,historical,0.6517262591999999,1.0543282271999999,0.4697003808,1.0186346
CESM2,1980,12,31,historical,0.26227234944,0.9386567712,0.29095803072000004,0.94735044
CESM2,1981,1,31,historical,0.254736792,0.8247724992,0.26492524415999996,0.88340855
CESM2,1981,2,28,historical,0.21296353248,0.28834545887999996,0.1621093824,0.8156976
CESM2,1981,3,31,historical,0.11482839936,1.0584931392,0.08177658911999999,0.18567722
CESM2,1981,4,30,historical,1.9199659392,1.4333775552,1.0814137632,1.4238865
CESM2,1981,5,31,historical,5.4177591744,1.38668112,2.9027520288,2.075577
CESM2,1981,6,30,historical,8.844103584,1.3126642271999998,4.3910590752,3.1987374
CESM2,1981,7,31,historical,8.26514064,0.977390928,4.809745267199999,3.2777317
CESM2,1981,8,31,historical,2.614199184,0.21962911968,2.2407598944,2.3569121
CESM2,1981,9,30,historical,0.61698456,0.63884992896,-0.5314301568,0.52171874
CESM2,1981,10,31,historical,0.8346932927999999,1.262628864,0.7735526784,1.0219492
CESM2,1981,11,30,historical,0.6896768544,1.2336055488,0.6952845599999999,1.7418061
CESM2,1981,12,31,historical,0.2992565088,0.9930642336000001,0.4077879552,1.710787
CESM2,1982,1,31,historical,0.27273450816,0.50122486368,0.34104792959999997,1.5733424
CESM2,1982,2,28,historical,0.077097617856,1.4332927104,0.10391869728,0.19035234
CESM2,1982,3,31,historical,0.57804137568,1.3813390944000001,0.40570988832,0.76842743
CESM2,1982,4,30,historical,1.6363329696000002,1.45001664,0.789909408,0.9478831
CESM2,1982,5,31,historical,4.29166296,1.5581014848,1.686150864,1.331829
CESM2,1982,6,30,historical,8.32592736,1.2219254784,3.6228122207999998,2.5571368
CESM2,1982,7,31,historical,5.6323878336,0.53155142784,3.5644359744000003,2.6846237
CESM2,1982,8,31,historical,2.7987306624,0.59463533376,1.126570032,1.876441
CESM2,1982,9,30,historical,1.5437020607999998,1.5581005344,0.830140272,0.67808867
CESM2,1982,10,31,historical,1.0170374688000001,1.2376280736,0.5799966336,0.6478254
CESM2,1982,11,30,historical,0.48453955488,1.1616575904,0.3460637952,0.6249646
CESM2,1982,12,31,historical,0.24046916256,0.7551467136000001,0.21784565951999998,0.6019087
CESM2,1983,1,31,historical,0.2466109584,0.6416742240000001,0.23715627552000001,0.57618695
CESM2,1983,2,28,historical,0.31348643328,0.7251507936,0.19944168191999997,0.55082726
CESM2,1983,3,31,historical,0.5644503359999999,0.8048287008,0.23701861440000002,0.52714145
CESM2,1983,4,30,historical,1.2454140096,1.0904451552,0.4916356128,0.52078056
CESM2,1983,5,31,historical,3.3194399615999997,1.17405936,1.0532007072,0.8628395
CESM2,1983,6,30,historical,7.179906096000001,1.1025472032,2.74936896,2.008825
CESM2,1983,7,31,historical,6.704444736,0.8842004928,3.181709808,2.4512668
CESM2,1983,8,31,historical,3.9562056288,0.7240239216,1.5883238592000002,2.124241
CESM2,1983,9,30,historical,1.430285904,1.4693237568,0.700515216,0.6349111
CESM2,1983,10,31,historical,1.0243479456,1.2213815903999998,0.5718125404800001,0.66599673
CESM2,1983,11,30,historical,0.509887656,1.0294985952,0.3697500096,0.6844967
CESM2,1983,12,31,historical,0.22393547711999998,0.7332297984,0.2392421184,0.6863321
CESM2,1984,1,31,historical,0.13116321792,0.27126765216,0.16192668959999998,0.5935987
CESM2,1984,2,29,historical,0.021909771648,0.59571212832,0.026528136768,0.11128854
CESM2,1984,3,31,historical,0.663327792,0.6075810432000001,0.45162052416,1.2763981
CESM2,1984,4,30,historical,0.46947223296,1.639626624,0.22921536384000002,0.21024348
CESM2,1984,5,31,historical,4.5781644096,1.57370688,1.9777741919999998,1.270108
CESM2,1984,6,30,historical,6.864171551999999,0.8223505344,3.5380983168,2.365378
CESM2,1984,7,31,historical,3.1791341375999997,0.25454227104,3.2266629503999997,2.333001
CESM2,1984,8,31,historical,1.2234989952,0.880759872,-0.3992886144,0.84952235
CESM2,1984,9,30,historical,1.0206565056,1.1336366016,0.51654634848,0.45396024
CESM2,1984,10,31,historical,1.1963041632,1.3606564032,0.823027824,0.9171299
CESM2,1984,11,30,historical,0.40950956159999996,0.9994119551999999,0.37031373504000004,0.90110743
CESM2,1984,12,31,historical,0.24181158528000002,0.8155238112,0.29964196512,0.83368284
CESM2,1985,1,31,historical,0.2604928032,0.7446363264,0.281660544,0.73240936
CESM2,1985,2,28,historical,0.293510304,0.6508083024,0.2013129936,0.62208617
CESM2,1985,3,31,historical,0.6814383552000001,0.9309383136,0.32587122528,0.5212096
CESM2,1985,4,30,historical,1.1372446656,1.1063221056,0.43749263808,0.453024
CESM2,1985,5,31,historical,3.228939936,1.2504296160000001,1.0277918496,0.74828833
CESM2,1985,6,30,historical,6.963880176,1.224700992,2.6031030912,1.8573161
CESM2,1985,7,31,historical,4.4864845056,0.52146820224,2.733070464,2.2343209
CESM2,1985,8,31,historical,2.922694272,0.54382807296,1.4517517248,1.7053539
CESM2,1985,9,30,historical,1.3309766208,0.6776673408,-0.2866361904,0.5253098
CESM2,1985,10,31,historical,0.9786448512,0.6323644079999999,0.5505585984,0.45354235
CESM2,1985,11,30,historical,0.36800329536,0.7954326144,0.28045351008,0.467564
CESM2,1985,12,31,historical,0.15094156896,0.8253722880000001,0.16500182112,0.4683792
CESM2,1986,1,31,historical,0.18879708096,0.835011072,0.18093151008000002,0.45889166
CESM2,1986,2,28,historical,0.09573164928,0.15090909984,0.09187034688,0.43061706
CESM2,1986,3,31,historical,0.031640892191999996,0.49133183039999995,0.015482839392000002,0.05145964
CESM2,1986,4,30,historical,1.8909762336,1.3131275904000002,0.8252033759999999,0.87216073
CESM2,1986,5,31,historical,4.9995306432,1.4435434656,2.2421399616,1.4849238
CESM2,1986,6,30,historical,8.042977728,1.1882626992,3.871524816,2.571608
CESM2,1986,7,31,historical,7.924377312000001,0.8174558016000001,4.8315715488,2.8774242
CESM2,1986,8,31,historical,4.3962404832,0.7102356047999999,2.7908222975999997,2.2165709
CESM2,1986,9,30,historical,1.9166817024,0.7652215584,0.54627243264,0.8906594
CESM2,1986,10,31,historical,1.1854086048,0.6077437344,0.8822837088,0.75650454
CESM2,1986,11,30,historical,0.5422500633599999,1.2534079968,0.43260953471999997,0.71643245
CESM2,1986,12,31,historical,0.2173985568,0.8010961343999999,0.21944149344000002,0.68044096
CESM2,1987,1,31,historical,0.19424016,0.5044473936,0.19548563328000002,0.6331359
CESM2,1987,2,28,historical,0.010477461024,0.7189128,0.017079166656,0.059271034
CESM2,1987,3,31,historical,0.6644184192,0.949181328,0.38846729088,0.98588544
CESM2,1987,4,30,historical,2.0649741696,1.1822726304,1.1955529152,1.4713087
CESM2,1987,5,31,historical,5.09027328,1.5117454655999998,2.7321258528,1.7986047
CESM2,1987,6,30,historical,8.095749552,1.4153736959999998,3.838528224,2.7392366
CESM2,1987,7,31,historical,8.7522012,1.1026918368,4.7426146272,2.8927116
CESM2,1987,8,31,historical,4.7457621792,0.45072725184,3.2140719648,2.4071069
CESM2,1987,9,30,historical,2.283326064,0.36257042879999996,1.1204780976,1.551564
CESM2,1987,10,31,historical,1.3144629888000001,1.0378082016,0.9353356415999999,0.87016195
CESM2,1987,11,30,historical,0.5359167792,1.031358096,0.38803802112,0.8173026
CESM2,1987,12,31,historical,0.27839956608,1.0324599552,0.29084367168,0.77353287
CESM2,1988,1,31,historical,0.25414357824,0.7216544448000001,0.25372385568,0.7321865
CESM2,1988,2,29,historical,0.39587814720000003,0.976183056,0.28063915776,0.6947433
CESM2,1988,3,31,historical,0.8286948,1.0968422112,0.3696748848,0.6612797
CESM2,1988,4,30,historical,1.7270983296,1.4266098431999998,0.6888290112,0.68449354
CESM2,1988,5,31,historical,4.06515888,1.3911675263999999,1.5670258272000002,1.1424425
CESM2,1988,6,30,historical,7.699815072000001,1.3383309888,3.3839016192000004,2.2894096
CESM2,1988,7,31,historical,7.189096896000001,1.1125431648,3.752120448,2.5281718
CESM2,1988,8,31,historical,3.9000663648,0.8818253568000001,2.2523021568,1.9559805
CESM2,1988,9,30,historical,1.783551744,1.8837847296,0.072472212,0.7657353
CESM2,1988,10,31,historical,0.9649844064,1.5268401504,0.53338256352,0.7682785
CESM2,1988,11,30,historical,0.5359715136000001,1.1818715616,0.42592525055999997,0.783424
CESM2,1988,12,31,historical,0.343814544,0.8352578303999999,0.29248236864,0.7817162
CESM2,1989,1,31,historical,0.16990229088,0.22603019327999999,0.16574982912000003,0.62050414
CESM2,1989,2,28,historical,5.3273727647999996e-5,0.6472045151999999,2.3271720767999997e-5,1.957658e-4
CESM2,1989,3,31,historical,0.776283264,0.8236612656000001,0.42625411488,1.1537485
CESM2,1989,4,30,historical,1.7904092256000002,1.1596689648,0.90374154624,1.7041503
CESM2,1989,5,31,historical,4.231940256,1.3779022752,2.19173472,1.9265195
CESM2,1989,6,30,historical,8.228543327999999,1.4131215072,3.8375052480000003,2.8999815
CESM2,1989,7,31,historical,8.246661408,0.953321184,4.3680577536,3.3858147
CESM2,1989,8,31,historical,5.116055472,0.8043957504000001,3.155228208,2.9497447
CESM2,1989,9,30,historical,2.1829864608,0.28825759872,0.9128257632,1.7475938
CESM2,1989,10,31,historical,0.63130536,0.20534664672,0.50407689312,0.61927694
CESM2,1989,11,30,historical,4.188152736e-4,0.53664895008,1.9198550016e-4,9.3153026e-4
CESM2,1989,12,31,historical,0.26310814848,0.8692117344,0.38164100832000003,1.401504
CESM2,1990,1,31,historical,0.29498701824,0.7717002624,0.38878571808,2.0109558
CESM2,1990,2,28,historical,0.18505534752,0.5797037375999999,0.2225255328,1.0691309
