model,year,month,days_in_mo,scenario,gpp_gCm2d,rh_gCm2d,ra_gCm2d,lai_m2_m2
IPSL-CM6A-LR,1980,1,31,historical,0.027432062208,0.6158387232,0.043392061152,0.080041796
IPSL-CM6A-LR,1980,2,29,historical,0.021204838368000002,0.8030969856,0.06794918064,0.062231883
IPSL-CM6A-LR,1980,3,31,historical,0.054849947040000006,1.0438788384,0.10342797983999999,0.06116795
IPSL-CM6A-LR,1980,4,30,historical,0.08742136031999999,1.2455396351999999,0.14832311328,0.07790317
IPSL-CM6A-LR,1980,5,31,historical,4.7046422592,1.501755552,1.8284991839999998,1.5013922
IPSL-CM6A-LR,1980,6,30,historical,9.560271024,1.9536650496,3.6897052608,2.6395998
IPSL-CM6A-LR,1980,7,31,historical,11.887285248,1.8631842912,4.7707795584,3.7409577
IPSL-CM6A-LR,1980,8,31,historical,11.17473408,1.9174539456,4.786626528,4.148351
IPSL-CM6A-LR,1980,9,30,historical,6.031295424,1.6520548320000001,3.0627854784,3.674329
IPSL-CM6A-LR,1980,10,31,historical,2.9807089344,1.3049043839999999,1.6766793504,2.749091
IPSL-CM6A-LR,1980,11,30,historical,0.842769792,0.998629992,0.57147247008,1.4315772
IPSL-CM6A-LR,1980,12,31,historical,0.23358269376,0.8529220512,0.1812097008,0.509952
IPSL-CM6A-LR,1981,1,31,historical,0.0657859536,0.8618101056,0.079557901056,0.11862361
IPSL-CM6A-LR,1981,2,28,historical,0.016533888479999998,0.7327178783999999,0.05159365632,0.06874538
IPSL-CM6A-LR,1981,3,31,historical,0.045203654016,0.9664770528,0.0897611328,0.06591285
IPSL-CM6A-LR,1981,4,30,historical,0.07345421712,1.2090892896,0.13361991552,0.06674951
IPSL-CM6A-LR,1981,5,31,historical,3.3698519424,1.7777654496000002,1.3817125151999998,1.0409095
IPSL-CM6A-LR,1981,6,30,historical,8.6221414656,2.1401195328,3.3638794560000003,2.3381069
IPSL-CM6A-LR,1981,7,31,historical,11.586746304,1.8988349184000002,4.5896307264,3.5009432
IPSL-CM6A-LR,1981,8,31,historical,9.385082928000001,1.6828617024,4.2357671712,4.023827
IPSL-CM6A-LR,1981,9,30,historical,5.569320672,1.4236447680000002,2.84989536,3.6466868
IPSL-CM6A-LR,1981,10,31,historical,3.0008740032,1.3299454368,1.6804146815999998,2.7371576
IPSL-CM6A-LR,1981,11,30,historical,1.269235872,1.0377454752,0.7492937184,1.5664891
IPSL-CM6A-LR,1981,12,31,historical,0.34702038143999997,0.6896744352,0.21668630976000003,0.74419606
IPSL-CM6A-LR,1982,1,31,historical,0.009451485216,0.561104496,0.030188364768000003,0.12569411
IPSL-CM6A-LR,1982,2,28,historical,0.0061681725504,0.6238479168000001,0.042295835232,0.07307348
IPSL-CM6A-LR,1982,3,31,historical,0.036855065664,0.9559172015999999,0.09115505856,0.06879502
IPSL-CM6A-LR,1982,4,30,historical,1.1247944256,1.8132122592000002,0.5544726048,0.41655335
IPSL-CM6A-LR,1982,5,31,historical,5.2868491776,1.827880992,2.1244620384,1.7637956
IPSL-CM6A-LR,1982,6,30,historical,10.237929552,1.8931774464,3.9555997056,2.9816704
IPSL-CM6A-LR,1982,7,31,historical,11.158975584,1.9119652992,4.6603931904,3.8850958
IPSL-CM6A-LR,1982,8,31,historical,9.641068848,2.0139756192,4.359944016,3.967888
IPSL-CM6A-LR,1982,9,30,historical,5.630344128,1.6308947808,2.8934666208000004,3.35955
IPSL-CM6A-LR,1982,10,31,historical,2.0272578912,1.1614656528,1.265019984,2.3615396
IPSL-CM6A-LR,1982,11,30,historical,1.1555911008,1.2062695392,0.6947297856000001,1.2593344
IPSL-CM6A-LR,1982,12,31,historical,0.286996824,0.799471296,0.21647176991999997,0.6331739
IPSL-CM6A-LR,1983,1,31,historical,0.12419899776000001,0.8289228959999999,0.10829517696,0.237015
IPSL-CM6A-LR,1983,2,28,historical,0.04697273808,0.7512529247999999,0.068446940544,0.084311284
IPSL-CM6A-LR,1983,3,31,historical,0.04828388832,0.9043670304,0.09304630271999999,0.07419394
IPSL-CM6A-LR,1983,4,30,historical,0.07728154272,1.2132775296,0.13994354879999998,0.07340493
IPSL-CM6A-LR,1983,5,31,historical,3.42715536,1.6707273407999998,1.3887169632,1.0473831
IPSL-CM6A-LR,1983,6,30,historical,8.181573696000001,1.9604920319999999,3.2036361408000005,2.3417077
IPSL-CM6A-LR,1983,7,31,historical,10.974329280000001,1.7899595136,4.406249664,3.5587587
IPSL-CM6A-LR,1983,8,31,historical,11.326385951999999,1.8623585664000002,4.754502144,4.061281
IPSL-CM6A-LR,1983,9,30,historical,6.7636097280000005,1.4608260576,3.280023072,3.8325274
IPSL-CM6A-LR,1983,10,31,historical,3.392432064,1.3218686784,1.9420313759999999,2.9828622
IPSL-CM6A-LR,1983,11,30,historical,1.381601232,1.054774224,0.8114123807999999,1.7682647
IPSL-CM6A-LR,1983,12,31,historical,0.4091553216,0.8004897792000001,0.256962672,0.8226339
IPSL-CM6A-LR,1984,1,31,historical,0.056533755167999994,0.5840660736,0.054299975615999994,0.19914067
IPSL-CM6A-LR,1984,2,29,historical,0.0061627613184,0.657081504,0.039925341504,0.07732665
IPSL-CM6A-LR,1984,3,31,historical,0.026225028288,0.8883590111999999,0.07279318368,0.072594285
IPSL-CM6A-LR,1984,4,30,historical,0.0986709168,1.580961888,0.16182180864,0.079576865
IPSL-CM6A-LR,1984,5,31,historical,4.4409551616,1.7364105215999999,1.8024052607999999,1.5057447
IPSL-CM6A-LR,1984,6,30,historical,9.877179744,2.321355888,3.8133290592000004,2.603629
IPSL-CM6A-LR,1984,7,31,historical,11.739574079999999,2.1908170656,4.906209744,3.8253915
IPSL-CM6A-LR,1984,8,31,historical,8.5265927424,1.7515691424,4.134430425600001,4.0463295
IPSL-CM6A-LR,1984,9,30,historical,5.055727536,1.991562768,2.9335899168,3.4195101
IPSL-CM6A-LR,1984,10,31,historical,1.3457259648,0.9077939568000001,1.154786976,2.3667035
IPSL-CM6A-LR,1984,11,30,historical,0.42128942399999997,0.7987819103999999,0.35217438336,1.073601
IPSL-CM6A-LR,1984,12,31,historical,0.055310224896,0.625892832,0.06346116633599999,0.25217825
IPSL-CM6A-LR,1985,1,31,historical,0.022601179008,0.6924850272,0.052245034559999994,0.07258271
IPSL-CM6A-LR,1985,2,28,historical,0.02929447728,0.7377505056,0.05995677888,0.06462631
IPSL-CM6A-LR,1985,3,31,historical,0.058534796448,1.0926117216,0.1101121344,0.06412945
IPSL-CM6A-LR,1985,4,30,historical,0.0641018232,1.025107488,0.1218293136,0.06502811
IPSL-CM6A-LR,1985,5,31,historical,3.0176070048,2.0008785024,1.3254201504,0.98167026
IPSL-CM6A-LR,1985,6,30,historical,7.954678223999999,1.6719129216,3.2503374144,2.5644214
IPSL-CM6A-LR,1985,7,31,historical,10.983172320000001,1.9149369408,4.4617325472,3.5286102
IPSL-CM6A-LR,1985,8,31,historical,9.409013568,1.6184884320000001,4.146063408,3.9663546
IPSL-CM6A-LR,1985,9,30,historical,3.390805584,1.1741982912,2.2495015008,3.473158
IPSL-CM6A-LR,1985,10,31,historical,1.7082275328,1.1830238784,1.258844976,2.3593664
IPSL-CM6A-LR,1985,11,30,historical,0.47645981567999995,0.8659014911999999,0.38607052032000005,1.0628723
IPSL-CM6A-LR,1985,12,31,historical,0.09864415872,0.6766831584,0.09756882432,0.31673944
IPSL-CM6A-LR,1986,1,31,historical,0.042177614976,0.7681881888,0.06958006272,0.07892863
IPSL-CM6A-LR,1986,2,28,historical,0.036345177792,0.7331466816,0.067844782656,0.06831868
IPSL-CM6A-LR,1986,3,31,historical,0.07036466976,1.2259003104,0.12826512864,0.06772154
IPSL-CM6A-LR,1986,4,30,historical,3.3467017536,1.395305568,1.3358310912000002,1.1818713
IPSL-CM6A-LR,1986,5,31,historical,5.54041512,1.3965798816,2.1845754432,1.9877292
