model,year,month,days_in_mo,scenario,gpp_gCm2d,rh_gCm2d,ra_gCm2d,lai_m2_m2
UKESM1-0-LL,1980,1,31,historical,0.21386956608000002,0.85904928,0.08293494528,2.192104
UKESM1-0-LL,1980,2,29,historical,0.14905899936,1.0699980768,0.053591592384,2.0402281
UKESM1-0-LL,1980,3,31,historical,0.7656812928,1.0787746752,0.2467908864,1.9361142
UKESM1-0-LL,1980,4,30,historical,4.2394539456,2.0566724256,1.426531392,2.1936135
UKESM1-0-LL,1980,5,31,historical,7.5696486336,3.3394045824,2.9002021056,2.6380413
UKESM1-0-LL,1980,6,30,historical,8.187604416,2.4958336896,3.7067019552,2.8691332
UKESM1-0-LL,1980,7,31,historical,5.874006816,2.0171452895999997,3.11418,2.8602517
UKESM1-0-LL,1980,8,31,historical,2.9827053791999996,1.6769654208,1.6871529312000002,2.732654
UKESM1-0-LL,1980,9,30,historical,2.629841904,1.2169060704,1.2347952768000001,2.6192777
UKESM1-0-LL,1980,10,31,historical,2.6932368671999996,1.0748935008,1.0405866528,2.5620918
UKESM1-0-LL,1980,11,30,historical,1.5068305151999999,1.8318462335999999,0.6586503551999999,2.448887
UKESM1-0-LL,1980,12,31,historical,0.5512255632,1.47233592,0.24012759744,2.3296106
UKESM1-0-LL,1981,1,31,historical,0.246856032,1.1942270207999999,0.0880777584,2.164864
UKESM1-0-LL,1981,2,28,historical,0.14574869567999998,0.8840489472,0.051276493151999995,2.0096505
UKESM1-0-LL,1981,3,31,historical,2.9002601664,1.5929828064000002,1.0034077824,2.0947368
UKESM1-0-LL,1981,4,30,historical,4.980990240000001,2.305788768,1.7261556192,2.4384859
UKESM1-0-LL,1981,5,31,historical,8.011795968,3.4475753088,3.111232896,2.7396994
UKESM1-0-LL,1981,6,30,historical,8.148573216,2.4676104384,3.7394570592,2.8951318
UKESM1-0-LL,1981,7,31,historical,6.316333344,1.4994958464,3.0982838688,2.8943157
UKESM1-0-LL,1981,8,31,historical,4.630765248,1.8242481312,2.5229244096,2.7900329
UKESM1-0-LL,1981,9,30,historical,4.8979768608,1.2148912224,2.1647963232,2.769293
UKESM1-0-LL,1981,10,31,historical,3.142003392,1.0229655456,1.4467426848,2.7101386
UKESM1-0-LL,1981,11,30,historical,0.6329631168,1.9505444544000001,0.22361281632000002,2.5162084
UKESM1-0-LL,1981,12,31,historical,0.15609419712,1.1525804928,0.056615592384000005,2.335239
UKESM1-0-LL,1982,1,31,historical,0.06075006048,1.1460300768,0.021443155488,2.1552968
UKESM1-0-LL,1982,2,28,historical,0.6502147776,1.2471796800000001,0.24518120255999998,2.0348086
UKESM1-0-LL,1982,3,31,historical,2.872070784,1.887449472,0.985625712,2.16684
UKESM1-0-LL,1982,4,30,historical,5.647036608,2.6198738496000002,2.0277766368,2.4716444
UKESM1-0-LL,1982,5,31,historical,8.76940128,3.9252007295999998,3.4737259968,2.806924
UKESM1-0-LL,1982,6,30,historical,9.731410848,4.248756288,4.0299148512,2.9558036
UKESM1-0-LL,1982,7,31,historical,6.027149952,1.3237668863999998,2.8578013056000002,2.9205174
UKESM1-0-LL,1982,8,31,historical,4.388434848,1.3761965664,2.1347457984,2.8253229
UKESM1-0-LL,1982,9,30,historical,4.5451517472,1.2404131776,2.1638719296,2.7808657
UKESM1-0-LL,1982,10,31,historical,3.249492336,0.8909188704000001,1.4779682496000002,2.709318
UKESM1-0-LL,1982,11,30,historical,1.6751517120000001,0.7246621152,0.6700126032,2.5642788
UKESM1-0-LL,1982,12,31,historical,0.42955533792,0.45126714815999996,0.14970728448,2.420351
UKESM1-0-LL,1983,1,31,historical,0.16992354527999998,0.7982629056,0.07355851488,2.2396216
UKESM1-0-LL,1983,2,28,historical,0.8218278144,1.4051026368,0.31814559648,2.1310256
UKESM1-0-LL,1983,3,31,historical,1.5257295648,1.460347056,0.48507626303999996,2.1181788
UKESM1-0-LL,1983,4,30,historical,4.0633256448,1.9691314272,1.3657706784,2.3300962
UKESM1-0-LL,1983,5,31,historical,7.1460760896,1.8727698527999999,2.860247808,2.6771288
UKESM1-0-LL,1983,6,30,historical,6.8865349824,1.0600444512,3.4667491968,2.837156
UKESM1-0-LL,1983,7,31,historical,6.0403021056,2.8335915072,3.4574227488,2.8318148
UKESM1-0-LL,1983,8,31,historical,3.6832281983999997,1.4298468192,1.7824024512,2.7526853
UKESM1-0-LL,1983,9,30,historical,2.8236467808000003,1.478799072,1.3351822272,2.6408734
UKESM1-0-LL,1983,10,31,historical,3.1013331839999996,1.2564069408,1.1838974688000001,2.6152797
UKESM1-0-LL,1983,11,30,historical,1.3525539839999998,1.3505209055999998,0.576197712,2.494873
